formula	target
Ba6Ag2.7Sn4.3S16	False
Ba6Al4B14O33	False
Ba6Ga2SnSe11	False
Ba6In2NF	True
Ba6Sn6Se13	False
Ba7(SnS3)5	False
Ba7B3O9F5	False
Ba7Ga5AgS15	False
Ba7Ru4Br2O15	True
Ba8Al10B12O41	False
Ba8Hg4Se7S5	False
Ba8Sn4S15	False
Ba8Ta7O24	True
BaAg	True
BaAg2	True
BaAgSbS3	False
BaAl2	True
BaAl4Se7	False
BaAlCu4O7	True
BaAu(IO3)5	False
BaAu2	True
BaB6	False
BaBClF4	False
BaBSbS4	False
BaBiClO2	False
BaCaB2O5	False
BaCaSn3	True
BaCdSnS4	False
BaCu2SnSe4	False
BaCuSbS3	False
BaCuSbSe3	False
BaCuTeF	False
BaDy2CuO5	True
BaEu2Mn2O7	True
BaF2	False
BaGa2GeS6	False
BaGa2GeSe6	False
BaGa2SiS6	False
BaGa2SiSe6	False
BaGa2SnSe6	False
BaGa4S7	False
BaGa4Se7	False
BaGe2	False
BaGe3Pt	True
BaGe4(IrS3)2	False
BaGe4(IrSe3)2	False
BaGe4(RhSe3)2	False
BaHgS2	False
BaHgSe2	False
BaIn2(P2O7)2	False
BaIn2Ir	True
BaLa2CoS5	True
BaLa2In2S7	False
BaLa2In2Se7	False
BaLa2Te5O14	False
BaLi4	True
BaMn4O7	True
BaMn4ZnO8	True
BaMnO3	True
BaNa2GeS4	False
BaNa2GeSe4	False
BaNa2SnS4	False
BaNa2SnSe4	False
BaNaB5O9	False
BaNb4O6	True
BaO	False
BaPd(IO3)4	False
BaPdSe6	False
BaPrO3	False
BaPt5	True
BaReH9	False
BaS	False
BaSe	False
BaSi	True
BaSi2	False
BaSn2S5	False
BaSn3	True
BaSnO3	False
BaTaNO2	False
BaTbMn2O6	True
BaTe	False
BaTeMo2O9	False
BaTh3	True
BaTi14O28	True
BaTi4O7	True
BaTi4O8	True
BaTiO3	False
BaTl(MoO3)2	True
BaTl3	True
BaUSe3	False
BaV2SeO8	False
BaYb2O4	True
BaYbSn3	True
BaZn(MoO2)4	True
BaZn5	True
BaZnGeSe4	False
BaZnSO	False
BaZnSiSe4	False
Be12Pt	True
Be22Re	True
Be2HgTe	True
Be2W	True
Be3N2	False
Be3Sb2	False
BeAlB	True
BeCu	True
BeFe2Si	True
BeGaO3	True
BeGaRh2	True
BeO	False
BePd2	True
BePd3	True
BeS	False
BeSe	False
BeSiOs2	True
BeSiRu2	True
BeTcSe	True
BeTe	False
Bi0.002Te0.003Pb0.999Se0.999	False
Bi0.04Te0.06Pb0.98Se0.98	False
Bi0.2Sb1.8Te3	False
Bi0.2Te0.3Pb0.9Se0.9	False
Bi0.4Sb1.6Te3	False
Bi0.4Te0.6Pb0.8Se0.8	False
Bi0.6Sb1.4Te3	False
Bi1.4Sb0.6Te3	False
Bi1.6Sb0.4Te3	False
Bi1.8Sb0.2Te3	False
Bi1.98Sb0.02Te3	False
Bi12PO20	False
Bi12Rh12O41	True
Bi1Sb0.15	False
Bi2(BO3)3	True
Bi2(MoO4)3	False
Bi2(PO4)3	True
Bi24BO39	False
Bi2AsClO4	False
Bi2CO5	False
Bi2I4O13	False
Bi2Mo2Se2O13	False
Bi2O3	False
Bi2O5	True
Bi2Pd3S2	True
Bi2Pt	True
Bi2S3	False
Bi2SI2O11	False
Bi2Se3	False
Bi2SeI2O11	False
Bi2Te0.03Se2.97	False
Bi2Te0.1Se2.9	False
Bi2Te0.3Se2.7	False
Bi2Te0.45Se2.55	False
Bi2Te0.4Se2.6	False
Bi2Te0.6Se2.4	False
Bi2Te0.9Se2.1	False
Bi2Te1.2Se1.8	False
Bi2Te1.5Se1.5	False
Bi2Te2.1Se0.9	False
Bi2Te2.4Se0.6	False
Bi2Te2.7Se0.3	False
Bi2Te2.97Se0.03	False
Bi2Te2SO10	False
Bi2Te2Se	False
Bi2Te3	False
Bi3BTeO9	False
Bi3I4O13F3	False
Bi3Se2NO11	False
Bi4I	True
Bi4Pb7Se13	False
Bi4Pd(SeO3)4	False
Bi5IO7	False
Bi7O5F11	False
Bi8Te7S5	False
Bi9S6O7.5	False
BiAs2Os	True
BiBPbO4	False
BiBr3	False
BiBrO	False
BiClO	False
BiI3	False
BiIO	False
BiIO3F2	False
BiO	True
BiP3(PbO4)3	False
BiPO4	False
BiPb2S2I3	False
BiPbBrO2	False
BiPbClO2	False
BiPd	True
BiSBr	False
BiSCl	False
BiSI	False
BiSbTe3	False
BiSe	False
BiSeBr	False
BiSeI	False
BiSeO3F	False
BiTeI	False
BiTeNO6	False
CBr4	False
CI4	False
Ca(AgGe)2	True
Ca(Al4Co)2	True
Ca(AlZn)2	True
Ca(BC)2	True
Ca(BIr)2	True
Ca(BiO2)2	False
Ca(CoGe)2	True
Ca(CoS2)4	True
Ca(GdS2)2	False
Ca(GeRh)2	True
Ca(LaS2)2	False
Ca(MnAs)2	True
Ca(NdS2)2	False
Ca(Ni2O3)2	True
Ca(PrS2)2	False
Ca(SiPd)2	True
Ca(SmS2)2	False
Ca(TiS2)4	True
Ca10Ge16(B2O17)3	False
Ca11Bi10	True
Ca11Ga7	True
Ca2Bi2O5	False
Ca2CdAs2	False
Ca2CdPb	True
Ca2Co9O13	True
Ca2CuWO6	True
Ca2Ge	False
Ca2GeN2	True
Ca2Mn9O13	True
Ca2MnAlO5	True
Ca2NiIrO6	True
Ca2Os2O7	True
Ca2PbAu2	True
Ca2ScSbO6	False
Ca2Si	False
Ca2SmTaO6	False
Ca2Sn	False
Ca2Sn2F3	True
Ca2SnS4	False
Ca2Ti9O13	True
Ca2TlCd	True
Ca2ZnRh	True
Ca3(BN2)2	False
Ca3(GaPt)2	True
Ca3Al2Ge3	True
Ca3Au	True
Ca3Au4	True
Ca3Bi(PO4)3	False
Ca3BiAs	True
Ca3BiSb	True
Ca3Cu2(ClO2)2	True
Ca3In	True
Ca3La2(SnS4)3	False
Ca3N2	False
Ca3PbN	True
Ca3Sb2	False
Ca3SbN	True
Ca3Sn2S7	True
Ca3Ti2(SiO4)3	False
Ca3TlN	True
Ca3Zr17O37	True
Ca4Al3O10	True
Ca4Bi6O13	False
Ca5(Bi7O13)2	False
Ca5Au2	True
Ca5B3O9F	False
Ca5Ir	True
Ca5Sb3	True
Ca5Sn4S13	True
Ca6Ag16N	True
Ca6Cu2Sn7	True
CaAgF5	True
CaAu5	True
CaB6	False
CaCdPd2	True
CaCdSi	True
CaCu5	True
CaEu2O3	True
CaEuO2	True
CaF2	False
CaGa3Ni2	True
CaGaAu3	True
CaGaGe	True
CaGe2	True
CaHfZn	True
CaHg2	True
CaI2	False
CaIn2Ir	True
CaIn4Ir	True
CaInAu	True
CaInPt	True
CaIrO3	True
CaMg2N2	False
CaMgSn	True
CaMnSn	True
CaNi5	True
CaO	False
CaOsO3	True
CaPb	True
CaPd3C	True
CaPrZn2	True
CaS	False
CaSe	False
CaSnO3	False
CaTaNO2	False
CaTe	False
CaTi4O8	True
CaTiO2	True
CaVO2	True
CaYbInSe4	True
CaZn2	True
CaZn3	True
CaZn3Ni2	True
CaZn5	True
CaZnSO	False
Cd(GaS2)2	False
Cd(GaSe2)2	False
Cd(In15Te23)2	False
Cd(InS2)2	False
Cd(InSe2)2	False
Cd(InTe2)2	False
Cd(PS2)2	False
Cd0.01Ga0.99Sb0.99Te0.01	False
Cd0.01Hg0.99Se1	False
Cd0.01In0.99Te0.01As0.99	False
Cd0.02In0.98Te0.02As0.98	False
Cd0.03In0.97Te0.03As0.97	False
Cd0.04In0.96Te0.04As0.96	False
Cd0.05Ga0.95Sb0.95Te0.05	False
Cd0.05In0.95Te0.05As0.95	False
Cd0.06In0.94Te0.06As0.94	False
Cd0.07In0.93Te0.07As0.93	False
Cd0.1Ga0.9Sb0.9Te0.1	False
Cd0.1Hg0.9Se1	False
Cd0.1In0.9Te0.1As0.9	False
Cd0.204Hg0.796Te1	False
Cd0.23Hg0.77Te1	False
Cd0.28Hg0.72Te1	False
Cd0.2Ga0.8Sb0.8Te0.2	False
Cd0.2Hg0.8Se1	False
Cd0.2In2.4Ag0.4Te4	False
Cd0.35Hg0.65Te1	False
Cd0.37Hg0.63Te1	False
Cd0.3Hg0.7Se1	False
Cd0.3Hg0.7Te1	False
Cd0.4Hg0.6Se1	False
Cd0.5Hg0.5Se1	False
Cd0.5In2.25Ag0.25Te4	False
Cd0.5In2.2Ag0.4Te4	False
Cd0.6Hg0.4Se1	False
Cd0.75In2.1Ag0.2Te4	False
Cd0.7Hg0.3Se1	False
Cd0.8Hg0.2Se1	False
Cd0.8In2.1Ag0.1Te4	False
Cd0.99Ga0.01Sb0.01Te0.99	False
Cd0.99Hg0.01Se1	False
Cd0.9Hg0.1Se1	False
Cd12Ge17(B4O29)2	False
Cd13I28	True
Cd1Hg6.5As4Cl6	False
Cd1Se0.01S0.99	False
Cd1Se0.2S0.8	False
Cd1Se0.35S0.65	False
Cd1Se0.45S0.55	False
Cd1Se0.65S0.35	False
Cd1Se0.99S0.01	False
Cd2AgRh	True
Cd2InAgTe3	False
Cd2InCuTe3	False
Cd2InCuTe4	False
Cd2PbO4	True
Cd3AgPS6	False
Cd3As2	False
Cd3Bi(PO4)3	False
Cd3Bi2	False
Cd3In2(Te2S)2	False
Cd3P2	False
Cd3Sb2	False
Cd3Te2MoO10	False
Cd4As2Br3	False
Cd4As2I3	False
Cd4P2Br3	False
Cd4P2Cl3	False
Cd4P2I3	False
Cd4Sb2I3	False
Cd4Sb3	False
Cd5Ga2(Te3S)2	False
Cd6P7	False
Cd8B5O15F	False
CdAg	True
CdAg2(PS3)2	False
CdAg2GeS4	False
CdAs2	False
CdAsPd5	True
CdAuO2	True
CdBiClO2	False
CdBr2	False
CdCl2	False
CdCu(SeO3)2	False
CdCu2GeS4	False
CdCu2GeSe4	False
CdCu2SnS4	False
CdCu2SnSe4	False
CdF2	False
CdGeAs2	False
CdGeP2	False
CdHIO4	False
CdHg4(AsI2)2	False
CdHg6(As2Br3)2	False
CdI2	False
CdIClO3	False
CdIn	False
CdIn8Te13	False
CdInCuSe3	False
CdO	False
CdP2	False
CdP4	False
CdP4PbO12	False
CdPd	True
CdPt	True
CdRhF6	True
CdS	False
CdSb	False
CdSb2Se3Br2	False
CdSb4MoO10	False
CdSe	False
CdSiAs2	False
CdSiP2	False
CdSnAs2	False
CdSnO3	False
CdSnP2	False
CdTe	False
CdTeO3	False
Ce(AlZn)2	True
Ce(BC)2	True
Ce(CoAs)2	True
Ce(CoB)4	True
Ce(CuSb)2	True
Ce(HO)3	True
Ce(InS2)3	False
Ce(MnGe)2	True
Ce(MnSi)2	True
Ce(PPt2)2	True
Ce(SiAu)2	True
Ce(SiNi)2	True
Ce(SiPd)2	True
Ce1.3Lu0.7S3	False
Ce10Se14O	False
Ce15B8N25	False
Ce1Mn0.5Se1O1	False
Ce2(SbPd3)3	True
Ce2(SnSe3)3	False
Ce2Al2Co15	True
Ce2Co5B2	True
Ce2CrN3	True
Ce2Cu(NO)2	True
Ce2Fe(SeO)2	False
Ce2Fe17	True
Ce2Ge2Se7	False
Ce2GeSe5	False
Ce2S2O	True
Ce2S3	False
Ce2Sb	True
Ce2Se3	False
Ce2SiSeO4	True
Ce2Te3	False
Ce2Ti2O7	True
Ce2ZnNi2	True
Ce3(Al3Ru)4	True
Ce3Al	True
Ce3AlC	True
Ce3B2(ClO2)3	True
Ce3In3Ru2	True
Ce3LuSe6	False
Ce3MnAlS7	True
Ce3MoO7	False
Ce3NbS3O4	True
Ce3Pd5	True
Ce3SiPt5	True
Ce3Ta(ClO2)3	True
Ce3TaO7	True
Ce4(GeS4)3	False
Ce4Bi3	True
Ce4FeSe6O	True
Ce4InSbSe9	False
Ce4Si3Rh4	True
Ce4Te7	False
Ce5(SiN3)3	True
Ce5CuSe8	True
Ce5Ge3	True
Ce5Si3	True
Ce6B2(CBr)3	True
Ce8Sb2S15	False
Ce8U2O21	True
Ce9SmO20	True
CeAgSn	True
CeAl2Pd5	True
CeAl2Pt3	True
CeAl3Ni2	True
CeAlO3	True
CeAlSi2	True
CeAsPd	True
CeAsSe	True
CeB2Ir3	True
CeBC	True
CeBiW2O9	False
CeCd2Ag	True
CeCdAu2	True
CeCoGeH	True
CeF3	False
CeGaO3	True
CeHSe	True
CeHg	True
CeInIr	True
CeIr5	True
CeLu3	True
CeMg2Ag	True
CeMgAg2	True
CeMgNi4	True
CeMgPt	True
CeMgZn2	True
CeMoO4F	False
CeN	False
CeNbO4	True
CeO2	False
CeOs2	True
CePd5	True
CePrO2	True
CeRh	True
CeSI	True
CeSbO3	True
CeScO3	False
CeSi2Ni	True
CeSi2Pt	True
CeSiI	True
CeSiIr	True
CeSiOs	True
CeTaN2O	False
CeTl2P2S7	False
CeTl3	True
CeTlZn	True
CeZnPO	True
Co(PO3)4	True
Co(WO4)2	True
Co1Te1.88	False
Co2B4Mo	True
Co2Ge	True
Co2O3	True
Co2Te3O8	False
Co3H	True
Co3Se4	True
Co3W	True
Co5Ge7	True
Co5RuO8	True
Co7Mo6	True
Co7Re17O48	True
CoAs3	False
CoAsRh	True
CoAsS	False
CoAsSe	False
CoCu2Sn	True
CoGe	True
CoH2(SN)4	True
CoMoP2	True
CoN	True
CoOF	True
CoP2	False
CoP3	False
CoPS	False
CoPbO3	True
CoSb2	False
CoSb3	False
CoSbS	False
Cr(FeSe2)2	True
Cr(MoS2)2	True
Cr10Sb3Te7	True
Cr2CuS4	True
Cr2CuTe4	True
Cr2GeC	True
Cr2HO4	True
Cr2HgSe4	True
Cr2NiS4	True
Cr2O3	False
Cr2P3O11	True
Cr2S3	False
Cr2SbTe	True
Cr3N2	True
Cr3Ni(PO4)6	True
Cr3P	True
Cr3Se4	False
Cr4As3	True
Cr4Cu3Te8	True
Cr7C3	True
CrAs	True
CrB2(PbO2)6	False
CrBi2I2O11	False
CrCo2Bi	True
CrCoGe	True
CrCoPt2	True
CrCu2Si	True
CrFe2Sb	True
CrFeP	True
CrH9(CN2)3	True
CrIrO4	True
CrIrO6	True
CrNi3	True
CrNiAs	True
CrNiP2O9	True
CrO2	False
CrO3	False
CrPbO4	False
CrSb2	False
CrSi2	False
CrTe2	False
Cs(AsRu)2	True
Cs(MoO3)3	True
Cs0.4K0.6P1Se6	False
Cs1.13Cd1.13Bi2.87Se6	False
Cs1.43Cd1.43Bi2.57S6	False
Cs10Cd4Sn4S17	False
Cs2AgBiBr6	False
Cs2AgBiCl6	False
Cs2Al2B2O7	False
Cs2Ba3(P2O7)2	False
Cs2Cd(PSe3)2	False
Cs2Cd0.25Hg5.75S7	False
Cs2Cd1.35Hg4.65S7	False
Cs2Cd2Bi2S5	False
Cs2Cd3(B4O7)4	False
Cs2Cd3Te4	False
Cs2CrCl4	True
Cs2Cu(PS3)3	False
Cs2Cu2Sb2S5	False
Cs2DyCu3Te4	False
Cs2Ga2S5	False
Cs2Ga2Se5	False
Cs2Hg(ICl)2	False
Cs2Hg3I8	False
Cs2Hg3S4	False
Cs2Hg6S7	False
Cs2La1.19Bi8.81S16	False
Cs2Li3(BO2)5	False
Cs2MgGe3Se8	False
Cs2MgSn3Se8	False
Cs2Mo15S19	True
Cs2NaCoF6	True
Cs2NaMgF6	True
Cs2NaMnF6	True
Cs2NbCuSe4	False
Cs2P2PdSe6	False
Cs2PdSe8	False
Cs2Pt(IO3)6	False
Cs2SCl6F	True
Cs2Sb	False
Cs2SeClF6	True
Cs2SiB4O9	False
Cs2Sn(PSe3)2	False
Cs2Sn3(SbS5)2	False
Cs2Te	False
Cs2TeBr6	False
Cs2TeI6	False
Cs2Th(PS3)3	False
Cs2Ti(AgS2)2	False
Cs2VAgS4	False
Cs2Zn3(SeO3)4	False
Cs2ZnGe3S8	False
Cs2ZnGe3Se8	False
Cs2ZnGe3Te8	False
Cs2ZnSn3Se8	False
Cs39Ga53(Se16Cl)6	False
Cs3As	False
Cs3Bi	False
Cs3Bi2Br9	False
Cs3Bi2I9	False
Cs3Li4(BO2)7	False
Cs3NaZn2Ge21	False
Cs3Nb2AsSe11	False
Cs3Nb9(TeO8)4	False
Cs3PW3O13	False
Cs3Sb	False
Cs3Sb2Br9	False
Cs3Sb2I9	False
Cs3Sn3Cl7F2	False
Cs3V2Cl9	True
Cs4Ag9(SbS3)4	False
Cs4BiAs3Se7	False
Cs4Cu3Bi9S17	False
Cs4Ga4Si19	False
Cs4Ge(PSe3)4	False
Cs4Ge5(PbS4)4	False
Cs4In8GeSe16	False
Cs4Zr3S14	False
Cs5Bi(PSe3)4	False
Cs5Mo21Se23	True
Cs5P5Se12	False
Cs6.4Na1.6Ga8Ge38	False
CsAg2AsS3	False
CsAg2TeS6	False
CsAg5Te3	False
CsAgCl3	True
CsAgSb4S7	False
CsAsSe2	False
CsAu	False
CsB3O5	False
CsBi2	False
CsBi3Se5	False
CsBiS2	False
CsBiSe2	False
CsBr	False
CsCaBO3	False
CsCaO3	True
CsCd4Ga5S12	False
CsCd4Ga5Se12	False
CsCd4Ga5Te12	False
CsCd4In5Se12	False
CsCd4In5Te12	False
CsCdBO3	False
CsCdInSe3	False
CsCeCdSe3	False
CsCeHgSe3	False
CsCl	False
CsCu(SbS2)2	False
CsCu2AsS3	False
CsCu2SbS3	False
CsDy9(Cd2Se9)2	False
CsEr9(Cd2Se9)2	False
CsErZnSe3	False
CsEuF3	True
CsF	False
CsGa(SnSe3)2	False
CsGa7	True
CsGaS3	False
CsGaSnSe4	False
CsGdO3	True
CsGdZnTe3	False
CsGe5BO12	False
CsGeB3O7	False
CsGeI3	False
CsH3(SeO3)2	False
CsHo9(Cd2Se9)2	False
CsI	False
CsIn(SnSe3)2	False
CsInGeS4	False
CsInGeSe4	False
CsInHgS3	False
CsInI3	True
CsInS2	False
CsInSe2	False
CsInSnS4	False
CsInTe2	False
CsInTe3O8	False
CsIr	True
CsIrO3	True
CsK(PSe4)2	False
CsK2Sb	False
CsLaHgSe3	False
CsLi(B3O5)2	False
CsLiCO3	False
CsLu7S11	False
CsLu7Se11	False
CsLuCoS3	False
CsMg149	True
CsMn4Ga5Te12	False
CsMn4In5Se12	False
CsMn4In5Te12	False
CsMnSb	True
CsNa2Sb	False
CsNa8(B7O12)3	False
CsNb6I11	True
CsNbSe2O7	False
CsNi2F6	True
CsPPbO4	False
CsPSe4	False
CsPSe6	False
CsRb(PSe4)2	False
CsRb2Sb	False
CsRbP	True
CsSb	False
CsSb(SO4)2	False
CsSbS2	False
CsSbSe2	False
CsSbTe2	False
CsSc(SeO3)2	False
CsScBr3	True
CsSmCdSe3	False
CsSmHgSe3	False
CsSmZnSe3	False
CsSn3	True
CsTa3(SeO6)2	False
CsTaPSe6	False
CsTb9(Cd2Se9)2	False
CsTbZnTe3	False
CsTiCl3	True
CsTiF4	True
CsTm9(Cd2Se9)2	False
CsUCuS3	True
CsVP2S7	True
CsWCl6	True
CsYCdSe3	False
CsYHgSe3	False
CsYTe3O8	False
CsYZnSe3	False
CsYbCoSe3	False
CsYbMnSe3	False
CsYbZnSe3	False
CsZn2B3O7	False
CsZn4In5Se12	False
