CIF_id,Compound,Central atom,Coordination number,A atom count in CN,B atom count in CN,Volume of polyhedron,Distance from central atom to center of mass,Number of edges,Number of faces,Shortest distance to center of any face,Shortest distance to center of any edge,Volume of the inscribed sphere,Packing efficiency of inscribed sphere in polyhedron
250373,LaIn3,In1,12.0,4.0,8.0,88.4384,0.0,30.0,20.0,2.4953,2.3672,65.0812,0.7359
250373,LaIn3,La1,15.0,3.0,12.0,114.97,0.0,21.0,14.0,2.6144,2.8575,75.316,0.6702
250374,CeIn3,Ce1,15.0,3.0,12.0,111.7085,0.0,21.0,14.0,2.5894,2.8302,73.1795,0.6702
250374,CeIn3,In1,12.0,4.0,8.0,85.9296,0.0,30.0,20.0,2.4715,2.3446,63.235,0.7359
250375,PrIn3,In1,12.0,4.0,8.0,84.9602,0.0,30.0,20.0,2.4622,2.3358,62.5216,0.7359
250375,PrIn3,Pr1,15.0,3.0,12.0,110.4483,0.0,21.0,14.0,2.5796,2.8196,72.3539,0.6702
250376,NdIn3,In1,12.0,4.0,8.0,84.0794,0.0,30.0,20.0,2.4536,2.3277,61.8735,0.7359
250376,NdIn3,Nd1,15.0,3.0,12.0,109.3033,0.0,21.0,14.0,2.5707,2.8098,71.6038,0.6702
250377,SmIn3,In1,12.0,4.0,8.0,82.4912,0.0,30.0,20.0,2.4381,2.313,60.7047,0.7359
250377,SmIn3,Sm1,15.0,3.0,12.0,107.2385,0.0,21.0,14.0,2.5544,2.792,70.2512,0.6702
250378,GdIn3,Gd1,15.0,3.0,12.0,105.9019,0.0,21.0,14.0,2.5438,2.7803,69.3756,0.6702
250378,GdIn3,In1,12.0,4.0,8.0,81.463,0.0,30.0,20.0,2.4279,2.3033,59.948,0.7359
250379,TbIn3,In1,12.0,4.0,8.0,80.5697,0.0,30.0,20.0,2.419,2.2948,59.2907,0.7359
250379,TbIn3,Tb1,13.5,1.5,12.0,92.6551,0.0,25.5,17.0,2.4767,2.5325,63.9527,0.7031
250380,DyIn3,Dy1,13.5,1.5,12.0,92.0146,0.0,25.5,17.0,2.471,2.5266,63.5107,0.7031
250380,DyIn3,In1,12.0,4.0,8.0,80.0127,0.0,30.0,20.0,2.4134,2.2896,58.8808,0.7359
250381,HoIn3,Ho1,13.5,1.5,12.0,91.6594,0.0,25.5,17.0,2.4678,2.5234,63.2655,0.7031
250381,HoIn3,In1,12.0,4.0,8.0,79.7039,0.0,30.0,20.0,2.4103,2.2866,58.6535,0.7359
250382,ErIn3,Er1,12.0,0.0,12.0,79.2446,0.0,30.0,20.0,2.4056,2.2822,58.3156,0.7359
250382,ErIn3,In1,12.0,4.0,8.0,79.2446,0.0,30.0,20.0,2.4056,2.2822,58.3156,0.7359
250383,TmIn3,In1,12.0,4.0,8.0,78.9325,0.0,30.0,20.0,2.4025,2.2792,58.0859,0.7359
250383,TmIn3,Tm1,12.0,0.0,12.0,78.9325,0.0,30.0,20.0,2.4025,2.2792,58.0859,0.7359
250384,YbIn3,In1,12.0,4.0,8.0,81.8881,0.0,30.0,20.0,2.4321,2.3073,60.2609,0.7359
250384,YbIn3,Yb1,15.0,3.0,12.0,106.4546,0.0,21.0,14.0,2.5482,2.7852,69.7376,0.6702
250385,LuIn3,In1,12.0,4.0,8.0,78.6316,0.0,30.0,20.0,2.3994,2.2763,57.8645,0.7359
250385,LuIn3,Lu1,12.0,0.0,12.0,78.6316,0.0,30.0,20.0,2.3994,2.2763,57.8645,0.7359
250394,YCo3,Co1,12.0,5.0,7.0,51.2099,0.0443,30.0,20.0,2.045,2.0228,35.8213,0.6995
250394,YCo3,Co2,12.0,3.0,9.0,47.8238,0.0082,30.0,20.0,1.9754,2.1427,32.2911,0.6752
250394,YCo3,Co3,12.0,6.0,6.0,51.7156,0.0001,30.0,20.0,2.0437,2.1687,35.7576,0.6914
250394,YCo3,Y1,16.0,4.0,12.0,79.4392,0.0947,42.0,28.0,2.4756,2.5997,63.5502,0.8
250394,YCo3,Y2,6.0,0.0,6.0,0.1882,0.0001,12.0,8.0,0.0063,1.4491,0.0,0.0
250404,NdAl3,Al1,13.5,3.0,10.5,41.7711,0.1471,19.5,13.0,1.4858,1.4012,14.2297,0.3822
250404,NdAl3,Nd1,12.0,0.0,12.0,20.887,0.0,30.0,20.0,1.3239,0.9342,9.7207,0.4654
250410,GdAl3,Al1,13.5,3.0,10.5,39.7106,0.1436,19.5,13.0,1.5419,1.2461,16.4694,0.4317
250410,GdAl3,Gd1,12.0,0.0,12.0,19.8568,0.0,30.0,20.0,1.302,0.9122,9.2456,0.4656
250411,Nd3Al,Al1,12.0,12.0,0.0,28.4215,0.0,30.0,20.0,1.47,1.0058,13.3048,0.4681
250411,Nd3Al,Nd1,12.5,10.5,2.0,44.2084,0.419,19.5,13.0,1.47,1.0058,13.3049,0.345
250460,GdFe3,Fe1,12.0,5.0,7.0,55.0487,0.045,30.0,20.0,2.1022,2.0507,38.9161,0.7069
250460,GdFe3,Fe2,12.0,3.0,9.0,51.4091,0.0083,30.0,20.0,2.0197,2.1762,34.5111,0.6713
250460,GdFe3,Fe3,12.0,6.0,6.0,55.5966,0.0,30.0,20.0,2.0722,2.2027,37.2731,0.6704
250460,GdFe3,Gd1,16.0,4.0,12.0,85.3992,0.0961,42.0,28.0,2.5473,2.6646,69.2319,0.8107
250460,GdFe3,Gd2,6.0,0.0,6.0,0.2061,0.0,12.0,8.0,0.0067,1.4922,0.0,0.0
250461,GdCo3,Co1,12.0,5.0,7.0,51.9402,0.0447,30.0,20.0,2.0536,2.0355,36.2797,0.6985
250461,GdCo3,Co2,12.0,3.0,9.0,48.5059,0.008,30.0,20.0,1.9855,2.1557,32.7877,0.676
250461,GdCo3,Co3,12.0,6.0,6.0,52.4569,0.0,30.0,20.0,2.0567,2.1819,36.4431,0.6947
250461,GdCo3,Gd1,16.0,4.0,12.0,80.5722,0.0953,42.0,28.0,2.4857,2.6119,64.3334,0.7985
250461,GdCo3,Gd2,6.0,0.0,6.0,0.1944,0.0,12.0,8.0,0.0066,1.4549,0.0,0.0
250462,GdNi3,Gd1,16.0,4.0,12.0,78.6716,0.0948,42.0,28.0,2.462,2.5907,62.5115,0.7946
250462,GdNi3,Gd2,6.0,0.0,6.0,0.1863,0.0001,12.0,8.0,0.0064,1.4406,0.0,0.0
250462,GdNi3,Ni1,12.0,5.0,7.0,50.7154,0.0445,30.0,20.0,2.0348,2.027,35.2893,0.6958
250462,GdNi3,Ni2,12.0,3.0,9.0,47.3621,0.008,30.0,20.0,1.9712,2.1454,32.086,0.6775
250462,GdNi3,Ni3,11.0,5.0,6.0,43.5978,0.2678,27.0,18.0,1.2996,1.4381,9.1939,0.2109
250463,YFe3,Fe1,12.0,5.0,7.0,53.9803,0.0447,30.0,20.0,2.0878,2.0393,38.1219,0.7062
250463,YFe3,Fe2,9.0,2.0,7.0,32.3146,0.6586,21.0,14.0,1.0887,0.7409,5.4056,0.1673
250463,YFe3,Fe3,12.0,6.0,6.0,54.5133,0.0001,30.0,20.0,2.0605,2.1899,36.6441,0.6722
250463,YFe3,Y1,16.0,4.0,12.0,83.741,0.0956,42.0,28.0,2.5296,2.6471,67.8014,0.8097
250463,YFe3,Y2,6.0,0.0,6.0,0.2021,0.0,12.0,8.0,0.0066,1.4818,0.0,0.0
250464,YCo3,Co1,12.0,5.0,7.0,51.0125,0.0444,30.0,20.0,2.0423,2.0205,35.6817,0.6995
250464,YCo3,Co2,12.0,3.0,9.0,47.6395,0.0082,30.0,20.0,1.9729,2.1401,32.1685,0.6752
250464,YCo3,Co3,12.0,6.0,6.0,51.5164,0.0001,30.0,20.0,2.0413,2.166,35.6302,0.6916
250464,YCo3,Y1,16.0,4.0,12.0,79.1331,0.0946,42.0,28.0,2.4723,2.5964,63.2974,0.7999
250464,YCo3,Y2,6.0,0.0,6.0,0.1874,0.0001,12.0,8.0,0.0063,1.4472,0.0,0.0
250465,YNi3,Ni1,12.0,5.0,7.0,50.5006,0.0445,30.0,20.0,2.0305,2.0284,35.0647,0.6943
250465,YNi3,Ni2,12.0,3.0,9.0,47.1617,0.0082,30.0,20.0,1.9692,2.146,31.9838,0.6782
250465,YNi3,Ni3,12.0,6.0,6.0,50.9997,0.0001,30.0,20.0,2.0494,2.172,36.0574,0.707
250465,YNi3,Y1,16.0,4.0,12.0,78.3436,0.095,42.0,28.0,2.4562,2.5868,62.0734,0.7923
250465,YNi3,Y2,6.0,0.0,6.0,0.1856,0.0001,12.0,8.0,0.0064,1.437,0.0,0.0
250468,SmIn3,In1,12.0,4.0,8.0,82.4965,0.0,30.0,20.0,2.4381,2.313,60.7086,0.7359
250468,SmIn3,Sm1,15.0,3.0,12.0,107.2455,0.0,21.0,14.0,2.5545,2.792,70.2558,0.6702
250469,YbIn3,In1,12.0,4.0,8.0,81.9094,0.0,30.0,20.0,2.4323,2.3075,60.2766,0.7359
250469,YbIn3,Yb1,15.0,3.0,12.0,106.4822,0.0,21.0,14.0,2.5484,2.7854,69.7558,0.6702
250502,YAl3,Al1,10.5,4.0,6.5,55.114,0.3012,25.5,17.0,1.8151,1.9184,25.4055,0.4561
250502,YAl3,Al2,12.0,4.0,8.0,65.01,0.0001,30.0,20.0,2.1938,2.1658,44.2245,0.6803
250502,YAl3,Y1,12.0,0.0,12.0,66.2989,0.1003,30.0,20.0,2.2002,2.0882,44.6167,0.673
250502,YAl3,Y2,12.0,0.0,12.0,68.464,0.0,30.0,20.0,2.2621,2.181,48.487,0.7082
250503,GdAl3,Al1,13.5,3.0,10.5,39.7106,0.1436,19.5,13.0,1.5419,1.2461,16.4694,0.4317
250503,GdAl3,Gd1,12.0,0.0,12.0,19.8568,0.0,30.0,20.0,1.302,0.9122,9.2456,0.4656
250504,NdAl3,Al1,13.5,3.0,10.5,41.7711,0.1471,19.5,13.0,1.4858,1.4012,14.2297,0.3822
250504,NdAl3,Nd1,12.0,0.0,12.0,20.887,0.0,30.0,20.0,1.3239,0.9342,9.7207,0.4654
250505,PrAl3,Al1,10.0,2.0,8.0,21.0836,0.0,12.0,8.0,1.3281,0.9387,9.8118,0.4654
250505,PrAl3,Pr1,12.0,0.0,12.0,21.0848,0.0,30.0,20.0,1.3281,0.9388,9.8125,0.4654
250506,CeAl3,Al1,13.5,3.0,10.5,42.7465,0.1488,19.5,13.0,1.5002,1.417,14.6637,0.3838
250506,CeAl3,Ce1,12.0,0.0,12.0,21.3747,0.0,30.0,20.0,1.3342,0.9447,9.9475,0.4654
250507,LaAl3,Al1,10.0,2.0,8.0,22.1444,0.0,12.0,8.0,1.3501,0.9615,10.3087,0.4655
250507,LaAl3,La1,12.0,0.0,12.0,22.1457,0.0,30.0,20.0,1.3502,0.9616,10.3095,0.4655
250508,ErAl3,Al1,12.0,4.0,8.0,64.0165,0.0,30.0,20.0,2.2405,2.1255,47.1093,0.7359
250508,ErAl3,Er1,15.0,3.0,12.0,83.2215,0.0,21.0,14.0,2.3474,2.5657,54.5178,0.6702
250554,Y0.25Ce0.75,Ce1,13.25,6.5,6.75,46.9029,0.102,14.25,9.5,1.645,1.3244,19.0016,0.4342
250554,Y0.25Ce0.75,Ce2,13.25,6.5,6.75,54.5605,0.102,14.25,9.5,1.7219,1.8351,21.3869,0.4156
250554,Y0.25Ce0.75,Y1,13.25,6.5,6.75,46.9029,0.102,14.25,9.5,1.645,1.3244,19.0016,0.4342
250554,Y0.25Ce0.75,Y2,13.25,6.5,6.75,54.5605,0.102,14.25,9.5,1.7219,1.8351,21.3869,0.4156
250646,TmPt3,Pt1,12.0,4.0,8.0,55.1128,0.0,30.0,20.0,2.1314,2.022,40.5571,0.7359
250646,TmPt3,Tm1,15.0,3.0,12.0,71.6466,0.0,21.0,14.0,2.2331,2.4408,46.9352,0.6702
250647,YbPt3,Pt1,12.0,4.0,8.0,54.6236,0.0,30.0,20.0,2.125,2.016,40.1971,0.7359
250647,YbPt3,Yb1,15.0,3.0,12.0,71.0107,0.0,21.0,14.0,2.2265,2.4335,46.5186,0.6702
250648,LuPt3,Lu1,15.0,3.0,12.0,70.9051,0.0,21.0,14.0,2.2253,2.4323,46.4494,0.6702
250648,LuPt3,Pt1,12.0,4.0,8.0,54.5424,0.0,30.0,20.0,2.124,2.015,40.1373,0.7359
250649,ScPt3,Pt1,12.0,4.0,8.0,51.5144,0.0,30.0,20.0,2.0839,1.977,37.9091,0.7359
250649,ScPt3,Sc1,15.0,3.0,12.0,66.9687,0.0,21.0,14.0,2.1834,2.3864,43.8708,0.6702
250650,CePd3,Ce1,15.0,3.0,12.0,76.2046,0.0,21.0,14.0,2.2795,2.4915,49.9211,0.6702
250650,CePd3,Pd1,12.0,4.0,8.0,58.6189,0.0,30.0,20.0,2.1756,2.064,43.1372,0.7359
250651,GdPd3,Gd1,15.0,3.0,12.0,74.2826,0.0,21.0,14.0,2.2601,2.4703,48.662,0.6702
250651,GdPd3,Pd1,12.0,4.0,8.0,57.1405,0.0,30.0,20.0,2.1572,2.0465,42.0493,0.7359
250652,Pd3Sn,Pd1,12.0,8.0,4.0,52.3396,0.0,30.0,20.0,2.095,1.9875,38.5163,0.7359
250652,Pd3Sn,Sn1,15.0,12.0,3.0,68.0414,0.0,21.0,14.0,2.195,2.3991,44.5735,0.6702
250653,YbPd3,Pd1,12.0,4.0,8.0,54.6642,0.0,30.0,20.0,2.1256,2.0165,40.227,0.7359
250653,YbPd3,Yb1,15.0,3.0,12.0,71.0635,0.0,21.0,14.0,2.227,2.4341,46.5532,0.6702
250654,YbIn3,In1,12.0,4.0,8.0,81.803,0.0,30.0,20.0,2.4313,2.3065,60.1982,0.7359
250654,YbIn3,Yb1,15.0,3.0,12.0,106.3439,0.0,21.0,14.0,2.5473,2.7842,69.6651,0.6702
250668,La3Co,Co1,14.75,12.75,2.0,143.9025,0.67,36.0,24.0,2.2792,2.2183,49.6546,0.372
250668,La3Co,La1,12.0,9.0,3.0,101.8672,0.147,30.0,20.0,2.0862,2.1083,38.0322,0.3734
250668,La3Co,La2,15.0,12.0,3.0,139.5234,0.1289,39.0,26.0,2.7122,2.7107,83.5696,0.599
250693,CePd3,Ce1,15.0,3.0,12.0,75.3219,0.0,21.0,14.0,2.2706,2.4818,49.3429,0.6702
250693,CePd3,Pd1,12.0,4.0,8.0,57.9399,0.0,30.0,20.0,2.1672,2.056,42.6376,0.7359
250717,TbAl3,Al1,11.0,4.0,7.0,58.577,0.2776,27.0,18.0,1.8835,1.9522,28.8246,0.4823
250717,TbAl3,Al2,12.0,4.0,8.0,64.4062,0.0001,30.0,20.0,2.195,2.1576,44.3006,0.6878
250717,TbAl3,Tb1,12.0,0.0,12.0,66.0643,0.0884,30.0,20.0,2.2035,2.0933,44.8174,0.6784
250717,TbAl3,Tb2,12.0,0.0,12.0,66.5663,0.0001,30.0,20.0,2.2384,2.1597,46.98,0.7058
250718,GdAl3,Al1,13.5,3.0,10.5,39.9184,0.1439,19.5,13.0,1.5446,1.2483,16.5555,0.4317
250718,GdAl3,Gd1,12.0,0.0,12.0,19.9607,0.0,30.0,20.0,1.3043,0.9138,9.294,0.4656
250763,Sm3Co,Co1,11.25,10.25,1.0,83.3862,0.4363,27.0,18.0,2.0108,2.0762,34.708,0.4523
250763,Sm3Co,Sm1,15.0,11.75,3.25,128.04,0.1601,37.5,25.0,2.5834,2.6402,72.2351,0.5788
250763,Sm3Co,Sm2,14.75,12.0,2.75,124.5682,0.1331,38.25,25.5,2.636,2.6205,76.7194,0.6161
250765,SmCo3,Co1,12.0,5.0,7.0,52.2274,0.0447,30.0,20.0,2.0576,2.0385,36.4918,0.6987
250765,SmCo3,Co2,12.0,3.0,9.0,48.7739,0.0082,30.0,20.0,1.9889,2.1589,32.9555,0.6757
250765,SmCo3,Co3,12.0,6.0,6.0,52.7468,0.0,30.0,20.0,2.0599,2.1854,36.6125,0.6941
250765,SmCo3,Sm1,16.0,4.0,12.0,81.0168,0.0954,42.0,28.0,2.4906,2.6167,64.713,0.7988
250765,SmCo3,Sm2,6.0,0.0,6.0,0.1955,0.0,12.0,8.0,0.0066,1.4578,0.0,0.0
250804,La0.75Pt2.25,La1,15.75,3.0,12.75,87.6029,0.0,39.0,26.0,2.5241,2.5601,71.2073,0.7811
250804,La0.75Pt2.25,Pt1,18.0,6.0,12.0,66.0022,0.0,30.0,20.0,2.2297,2.365,46.4343,0.7035
250804,La0.75Pt2.25,Pt2,12.75,0.75,12.0,63.3021,0.193,32.25,21.5,1.904,1.6723,28.9123,0.4595
250805,Pr0.75Pt2.25,Pr1,15.0,2.25,12.75,77.0578,0.1655,36.75,24.5,1.8843,1.655,28.0233,0.3785
250805,Pr0.75Pt2.25,Pt1,18.0,6.0,12.0,63.9725,0.0,30.0,20.0,2.2066,2.3405,45.007,0.7035
250805,Pr0.75Pt2.25,Pt2,15.75,3.0,12.75,84.909,0.0,39.0,26.0,2.498,2.5335,69.0176,0.7811
250806,Nd0.75Pt2.25,Nd1,13.5,0.75,12.75,60.8033,0.1904,32.25,21.5,1.8786,1.65,27.771,0.4595
250806,Nd0.75Pt2.25,Pt1,18.0,6.0,12.0,63.3968,0.0,30.0,20.0,2.2,2.3334,44.602,0.7035
250806,Nd0.75Pt2.25,Pt2,13.5,0.75,12.75,60.8033,0.1904,32.25,21.5,1.8786,1.65,27.771,0.4595
250807,Eu0.75Pt2.25,Eu1,14.25,1.5,12.75,71.3469,0.2068,34.5,23.0,1.9035,1.6719,28.8898,0.4133
250807,Eu0.75Pt2.25,Pt1,18.0,6.0,12.0,65.9509,0.0,30.0,20.0,2.2291,2.3644,46.3982,0.7035
250807,Eu0.75Pt2.25,Pt2,14.25,1.5,12.75,71.3469,0.2068,34.5,23.0,1.9035,1.6719,28.8898,0.4133
250808,Gd0.75Pt2.25,Gd1,16.5,2.25,14.25,82.6958,0.0,39.0,26.0,2.4761,2.5113,67.2186,0.7811
250808,Gd0.75Pt2.25,Pt1,18.0,6.0,12.0,62.3051,0.0,30.0,20.0,2.1873,2.32,43.8333,0.7035
250808,Gd0.75Pt2.25,Pt2,16.5,2.25,14.25,82.6958,0.0,39.0,26.0,2.4761,2.5113,67.2186,0.7811
250809,DyPt3,Dy1,15.0,3.0,12.0,73.1613,0.0,21.0,14.0,2.2487,2.4578,47.9275,0.6702
250809,DyPt3,Pt1,12.0,4.0,8.0,56.2779,0.0,30.0,20.0,2.1463,2.0362,41.4145,0.7359
250810,TbPt3,Pt1,12.0,4.0,8.0,56.6977,0.0,30.0,20.0,2.1516,2.0412,41.7234,0.7359
250810,TbPt3,Tb1,15.0,3.0,12.0,73.707,0.0,21.0,14.0,2.2543,2.4639,48.2849,0.6702
250811,Ce0.75Pt2.25,Ce1,13.5,0.75,12.75,61.8625,0.1915,32.25,21.5,1.8894,1.6595,28.2548,0.4595
250811,Ce0.75Pt2.25,Pt1,18.0,6.0,12.0,64.5012,0.0,30.0,20.0,2.2127,2.3469,45.379,0.7035
250811,Ce0.75Pt2.25,Pt2,14.25,1.5,12.75,69.7786,0.2053,34.5,23.0,1.8894,1.6595,28.2548,0.4133
250891,LaPd3,La1,15.0,3.0,12.0,82.2329,0.0,21.0,14.0,2.3381,2.5555,53.8702,0.6702
250891,LaPd3,Pd1,12.0,4.0,8.0,63.256,0.0,30.0,20.0,2.2316,2.117,46.5497,0.7359
250892,CePd3,Ce1,15.0,3.0,12.0,76.1935,0.0,21.0,14.0,2.2794,2.4913,49.9138,0.6702
250892,CePd3,Pd1,12.0,4.0,8.0,58.6104,0.0,30.0,20.0,2.1755,2.0639,43.131,0.7359
250893,PrPd3,Pd1,12.0,4.0,8.0,59.1873,0.0,30.0,20.0,2.1827,2.0706,43.5555,0.7359
250893,PrPd3,Pr1,15.0,3.0,12.0,76.9435,0.0,21.0,14.0,2.2868,2.4995,50.4052,0.6702
250894,YPd3,Pd1,12.0,4.0,8.0,56.1909,0.0,30.0,20.0,2.1452,2.0351,41.3505,0.7359
250894,YPd3,Y1,15.0,3.0,12.0,73.0482,0.0,21.0,14.0,2.2476,2.4566,47.8534,0.6702
250907,Ce0.25Tb0.75,Ce1,13.0,7.0,6.0,47.4135,0.0,15.0,10.0,1.5439,1.0474,15.4155,0.3591
250907,Ce0.25Tb0.75,Tb1,13.0,7.0,6.0,47.4135,0.0,15.0,10.0,1.5439,1.0474,15.4155,0.3591
250910,Pr0.25Tb0.75,Pr1,12.0,6.0,6.0,32.7923,0.0,12.0,8.0,1.5434,1.0472,15.3991,0.4696
250910,Pr0.25Tb0.75,Tb1,12.0,6.0,6.0,32.7923,0.0,12.0,8.0,1.5434,1.0472,15.3991,0.4696
250920,HoFe3,Fe1,12.0,5.0,7.0,52.6317,0.0445,30.0,20.0,2.0687,2.0269,37.0835,0.7046
250920,HoFe3,Fe2,12.0,3.0,9.0,49.1515,0.0082,30.0,20.0,1.9909,2.1497,33.0552,0.6725
250920,HoFe3,Fe3,12.0,6.0,6.0,53.1514,0.0001,30.0,20.0,2.0479,2.1757,35.9778,0.6769
250920,HoFe3,Ho1,16.0,4.0,12.0,81.6446,0.0949,42.0,28.0,2.5059,2.6245,65.9126,0.8073
250920,HoFe3,Ho2,6.0,0.0,6.0,0.1934,0.0001,12.0,8.0,0.0064,1.4676,0.0,0.0
250931,YbPd3,Pd1,12.0,4.0,8.0,55.0719,0.0,30.0,20.0,2.1308,2.0215,40.527,0.7359
250931,YbPd3,Yb1,15.0,3.0,12.0,71.5935,0.0,21.0,14.0,2.2325,2.4402,46.9004,0.6702
250934,Pd3Sn,Pd1,12.0,8.0,4.0,52.4582,0.0,30.0,20.0,2.0966,1.989,38.6036,0.7359
250934,Pd3Sn,Sn1,15.0,12.0,3.0,68.1956,0.0,21.0,14.0,2.1966,2.4009,44.6745,0.6702
250959,Pd0.75In0.25,In1,16.5,8.0,8.5,34.0716,0.16,19.5,13.0,1.6442,1.44,18.6186,0.5497
