,n,theta,r,t,toughness
75,6,175,1.8,0.7,16.25303968
76,6,175,1.8,0.7,16.17696459
77,6,175,1.8,0.7,15.6975907
78,12,75,2.4,1.05,46.92091161
79,12,75,2.4,1.05,40.6079649
80,12,75,2.4,1.05,47.30570731
81,6,175,1.6,1.4,16.86847969
82,6,175,1.6,1.4,4.48566731
83,6,175,1.6,1.4,18.26674629
84,6,175,1.6,1.05,20.1909625
85,6,175,1.6,1.05,23.82705059
86,6,175,1.6,1.05,19.34627319
87,6,175,1.6,0.7,14.9117021
88,6,175,1.6,0.7,14.39788533
89,6,175,1.6,0.7,15.46033752
90,6,150,2.5,1.4,20.43322464
91,6,150,2.5,1.4,17.82099566
92,6,150,2.5,1.4,16.39896448
93,6,150,2.5,1.05,18.51341047
94,6,150,2.5,1.05,18.11758006
95,6,150,2.5,1.05,20.4220484
96,12,125,2.4,1.05,24.91308985
97,12,125,2.4,1.05,24.95509839
98,12,125,2.4,1.05,1.878474045
99,6,150,2.5,0.7,20.95858163
100,6,150,2.5,0.7,20.19911768
101,6,150,2.5,0.7,17.94230795
102,6,150,2.3,1.4,18.03172451
103,6,150,2.3,1.4,14.86324414
104,6,150,2.3,1.4,15.50390773
105,6,150,2.3,1.05,19.91431001
106,6,150,2.3,1.05,18.46880396
107,6,150,2.3,1.05,17.35029167
108,6,150,2.3,0.7,18.49939449
109,6,150,2.3,0.7,14.02922575
110,6,150,2.3,0.7,17.37752817
111,12,200,1.9,1.05,15.20724601
112,12,200,1.9,1.05,17.01436909
113,12,200,1.9,1.05,17.529669
114,6,150,2.1,1.05,18.51288508
115,6,150,2.1,1.05,17.20666344
116,6,150,2.1,1.05,16.99550773
117,6,150,2.1,0.7,16.41042719
118,6,150,2.1,0.7,14.95439099
119,6,150,2.1,0.7,14.10560919
120,12,175,2.0,1.05,20.3410298
121,12,175,2.0,1.05,20.9950382
122,12,175,2.0,1.05,23.87025342
123,6,150,1.9,1.4,19.00199987
124,6,150,1.9,1.4,17.5141618
125,6,150,1.9,1.4,16.0481957
126,6,150,1.9,1.05,15.55778051
127,6,150,1.9,1.05,16.20815219
128,6,150,1.9,1.05,15.59957872
129,6,150,1.9,0.7,1.27661952
130,6,150,1.9,0.7,0.537630855
131,6,150,1.9,0.7,0.862449755
132,6,150,1.7,1.4,16.19996728
133,6,150,1.7,1.4,19.47943298
134,6,150,1.7,1.4,19.01081895
135,6,150,1.7,1.05,1.247425855
136,6,150,1.7,1.05,14.79832094
137,6,150,1.7,1.05,15.54963513
138,6,150,1.7,0.7,13.11436394
139,6,150,1.7,0.7,1.01669435
140,6,150,1.7,0.7,0.88429715
141,6,150,1.5,1.4,1.241250395
142,6,150,1.5,1.4,17.35790708
143,6,150,1.5,1.4,18.74742944
144,6,150,1.5,1.05,0.73339565
145,6,150,1.5,1.05,0.937172305
146,6,150,1.5,1.05,0.91101892
147,6,150,1.5,0.7,0.9721676
148,6,150,1.5,0.7,0.735884685
149,6,150,1.5,0.7,0.720294875
150,6,125,2.4,1.4,11.64011261
151,6,125,2.4,1.4,21.97821605
152,6,125,2.4,1.4,20.38441493
153,6,125,2.4,1.05,18.50428299
154,6,125,2.4,1.05,18.76875767
155,6,125,2.4,1.05,17.71837793
156,12,50,2.1,1.05,27.90628977
157,12,50,2.1,1.05,10.60761289
158,12,50,2.1,1.05,23.66746768
159,6,125,2.4,0.7,24.20558826
160,6,125,2.4,0.7,22.96424488
161,6,125,2.4,0.7,21.46815411
162,6,125,2.2,1.4,20.73650342
163,6,125,2.2,1.4,24.61952226
164,6,125,2.2,1.4,19.21279802
165,6,125,2.2,1.05,14.11770208
166,6,125,2.2,1.05,18.51707968
167,6,125,2.2,1.05,18.72782356
168,6,125,2.2,0.7,16.74357002
169,6,125,2.2,0.7,20.49097717
170,6,125,2.2,0.7,20.71585045
171,6,125,2.0,1.4,18.91401758
172,6,125,2.0,1.4,15.76786807
173,6,125,2.0,1.4,16.97832826
174,6,125,2.0,1.05,17.48321147
175,6,125,2.0,1.05,17.50446985
176,6,125,2.0,1.05,18.96923443
177,6,125,2.0,0.7,0.93520637
178,6,125,2.0,0.7,1.64178562
179,6,125,2.0,0.7,1.39624755
180,6,125,1.8,1.4,13.35430999
181,6,125,1.8,1.4,2.021798275
182,6,125,1.8,1.4,13.68365648
183,12,75,2.0,1.05,32.22906249
184,12,75,2.0,1.05,32.17184556
185,12,75,2.0,1.05,25.44355022
186,12,150,2.1,1.05,22.4073812
187,12,150,2.1,1.05,26.98313765
188,12,150,2.1,1.05,22.31453663
189,6,125,1.8,1.05,19.82673045
190,6,125,1.8,1.05,14.75259793
191,6,125,1.8,1.05,13.82702867
192,6,125,1.8,0.7,0.92180845
193,6,125,1.8,0.7,13.29645001
194,6,125,1.8,0.7,0.71230218
195,6,125,1.6,1.4,1.077183595
196,6,125,1.6,1.4,1.07172349
197,6,125,1.6,1.4,13.9894676
198,12,75,2.2,1.05,40.86827958
199,12,75,2.2,1.05,27.71886967
200,12,75,2.2,1.05,36.28859878
201,6,125,1.6,1.05,1.25473141
202,6,125,1.6,1.05,1.96536155
203,6,125,1.6,1.05,13.05591221
204,6,125,1.6,0.7,1.4166949
205,6,125,1.6,0.7,1.58774253
206,6,125,1.6,0.7,1.085871695
207,6,100,2.5,1.4,23.2304953
208,6,100,2.5,1.4,21.9617933
209,6,100,2.5,1.4,19.59464177
210,6,100,2.5,1.05,19.19430635
211,6,100,2.5,1.05,19.53450837
212,6,100,2.5,1.05,20.04377174
213,6,100,2.5,0.7,20.8723812
214,6,100,2.5,0.7,20.82913473
215,6,100,2.5,0.7,22.08445189
216,6,100,2.3,1.4,17.49456493
217,6,100,2.3,1.4,14.64180982
218,6,100,2.3,1.4,16.11451264
219,6,100,2.3,1.05,18.3145061
220,6,100,2.3,1.05,16.70905174
221,6,100,2.3,1.05,14.43700693
222,12,125,2.2,1.05,25.4602824
223,12,125,2.2,1.05,33.16625308
224,12,125,2.2,1.05,29.59553908
225,6,100,2.3,0.7,19.72634797
226,6,100,2.3,0.7,16.99064027
227,6,100,2.3,0.7,17.90994853
228,6,100,2.1,1.05,14.0173637
229,6,100,2.1,1.05,13.92808819
230,6,100,2.1,1.05,14.89652844
231,12,100,2.3,1.05,34.28081129
232,12,100,2.3,1.05,40.4790107
233,12,100,2.3,1.05,39.8601446
234,6,100,2.1,0.7,16.77800679
235,6,100,2.1,0.7,1.67980929
236,6,100,2.1,0.7,13.02767408
237,6,100,1.9,1.4,13.84331533
238,6,100,1.9,1.4,13.56843395
239,6,100,1.9,1.4,13.77882286
240,6,100,1.9,1.05,1.874484205
241,6,100,1.9,1.05,2.571962555
242,6,100,1.9,1.05,12.41231281
243,6,100,1.9,0.7,2.248745235
244,6,100,1.9,0.7,1.657600975
245,6,100,1.9,0.7,1.230991015
246,6,100,1.7,1.4,1.83067924
247,6,100,1.7,1.4,2.522915755
248,6,100,1.7,1.4,9.27425569
249,6,100,1.7,1.05,2.639451635
250,6,100,1.7,1.05,1.58847147
251,6,100,1.7,1.05,2.608886545
252,6,100,1.7,0.7,2.42913609
253,6,100,1.7,0.7,1.86839673
254,6,100,1.7,0.7,2.458336485
255,6,100,1.5,1.4,1.74145084
256,6,100,1.5,1.4,1.667230665
257,6,100,1.5,1.4,1.55379982
258,6,100,1.5,1.05,2.038989845
259,6,100,1.5,1.05,0.929859555
260,6,100,1.5,1.05,1.766962485
261,12,100,2.1,1.05,42.67655245
262,12,100,2.1,1.05,29.36967361
263,12,100,2.1,1.05,37.35179195
264,6,100,1.5,0.7,1.761419435
265,6,100,1.5,0.7,1.043984375
266,6,100,1.5,0.7,1.297602915
267,6,75,2.4,1.4,17.76211779
268,6,75,2.4,1.4,16.50240024
269,6,75,2.4,1.4,18.85629444
270,6,75,2.4,1.05,4.68270893
271,6,75,2.4,1.05,6.161012775
272,6,75,2.4,1.05,19.44473814
273,6,75,2.4,0.7,2.414646575
274,6,75,2.4,0.7,2.74980348
275,6,75,2.4,0.7,3.55753965
276,6,75,2.2,1.4,1.245206375
277,6,75,2.2,1.4,17.23894601
278,6,75,2.2,1.4,11.99178691
279,6,75,2.2,1.05,13.167347
280,6,75,2.2,1.05,3.764273615
281,6,75,2.2,1.05,4.35728777
282,6,75,2.2,0.7,2.28417177
283,6,75,2.2,0.7,2.43745487
284,6,75,2.2,0.7,3.738256045
285,10,200,2.5,1.4,2.119129425
286,10,200,2.5,1.4,1.861004645
287,10,200,2.5,1.4,2.48323922
288,6,75,2.0,1.4,14.5440842
289,6,75,2.0,1.4,2.47596343
290,6,75,2.0,1.4,4.505327385
291,12,75,1.8,1.05,22.02190688
292,12,75,1.8,1.05,5.086568105
293,12,75,1.8,1.05,16.55792988
294,6,75,2.0,1.05,1.844288285
295,6,75,2.0,1.05,1.93924519
296,6,75,2.0,1.05,2.33812806
297,6,75,2.0,0.7,0.70437207
298,6,75,2.0,0.7,1.450135035
299,6,75,2.0,0.7,1.16090386
300,6,75,1.8,1.4,1.307267365
301,6,75,1.8,1.4,2.12653032
302,6,75,1.8,1.4,0.764132035
303,6,75,1.8,1.05,0.955209465
304,6,75,1.8,1.05,0.368262385
305,6,75,1.8,1.05,0.737498875
306,6,75,1.8,0.7,0.49796538
307,6,75,1.8,0.7,0.85857833
308,6,75,1.8,0.7,0.874340925
309,6,75,1.6,1.4,1.129298705
310,6,75,1.6,1.4,1.259409195
311,6,75,1.6,1.4,1.690187665
312,6,175,2.4,0.7,22.93310771
313,6,175,2.4,0.7,20.67206613
314,6,175,2.4,0.7,22.75940737
315,6,75,1.6,1.05,0.62222879
316,6,75,1.6,1.05,1.00228558
317,6,75,1.6,1.05,0.74635778
318,6,75,1.6,0.7,0.56218211
319,6,75,1.6,0.7,0.316275755
320,6,75,1.6,0.7,0.421248255
321,6,50,2.5,1.4,8.263866695
322,6,50,2.5,1.4,10.29284302
323,6,50,2.5,1.4,21.12649344
324,12,100,1.9,1.05,32.71835599
325,12,100,1.9,1.05,20.39089823
326,12,100,1.9,1.05,27.97689242
327,6,50,2.5,1.05,23.65177359
328,6,50,2.5,1.05,22.65485255
329,6,50,2.5,1.05,24.14959018
330,6,50,2.5,0.7,6.389414035
331,6,50,2.5,0.7,8.01391438
332,6,50,2.5,0.7,6.19458219
333,6,50,2.3,1.4,10.26593447
334,6,50,2.3,1.4,17.49258419
335,6,50,2.3,1.4,5.749600085
336,12,125,2.0,1.05,36.33068406
337,12,125,2.0,1.05,37.20733246
338,12,125,2.0,1.05,36.25284256
339,6,50,2.3,1.05,8.36155203
340,6,50,2.3,1.05,4.08230125
341,6,50,2.3,1.05,8.212267235
342,6,50,2.3,0.7,3.208368345
343,6,50,2.3,0.7,4.73968986
344,6,50,2.3,0.7,6.059289655
345,10,200,1.5,1.05,30.13790411
346,10,200,1.5,1.05,30.34804809
347,10,200,1.5,1.05,23.6502444
348,12,150,1.9,1.05,29.48954875
349,12,150,1.9,1.05,43.81693055
350,12,150,1.9,1.05,27.66069837
351,6,50,2.1,1.4,4.324624925
352,6,50,2.1,1.4,4.59804905
353,6,50,2.1,1.4,3.74722125
354,12,175,1.8,1.05,23.88152443
355,12,175,1.8,1.05,46.28138168
356,12,175,1.8,1.05,21.71498025
357,6,50,2.1,1.05,4.159978755
358,6,50,2.1,1.05,4.046561015
359,6,50,2.1,1.05,2.592669905
360,6,50,2.1,0.7,16.00978343
361,6,50,2.1,0.7,4.20246107
362,6,50,2.1,0.7,3.17734853
363,6,50,1.9,1.4,3.17129197
364,6,50,1.9,1.4,1.64671733
365,6,50,1.9,1.4,2.720035715
366,6,50,1.9,1.05,1.733336745
367,6,50,1.9,1.05,2.433453355
368,6,50,1.9,1.05,1.898873585
369,6,50,1.9,0.7,1.670555225
370,6,50,1.9,0.7,2.180233015
371,6,50,1.9,0.7,1.31915937
372,6,50,1.7,1.4,1.22887476
373,6,50,1.7,1.4,0.890335145
374,6,50,1.7,1.4,1.47492584
375,6,50,1.7,1.05,1.856575375
376,6,50,1.7,1.05,1.279980775
377,6,50,1.7,1.05,1.78397391
378,6,50,1.7,0.7,1.280064085
379,6,50,1.7,0.7,1.019549845
380,6,50,1.7,0.7,0.857033345
381,6,50,1.5,1.4,0.600585055
382,6,50,1.5,1.4,0.724918585
383,6,50,1.5,1.4,0.615132955
384,12,200,1.7,1.05,22.87250266
385,12,200,1.7,1.05,20.98843555
386,12,200,1.7,1.05,19.96334537
387,6,50,1.5,1.05,0.80713156
388,6,50,1.5,1.05,0.780913535
389,6,50,1.5,1.05,0.77442139
390,6,50,1.5,0.7,0.911408525
391,6,50,1.5,0.7,0.581434425
392,6,50,1.5,0.7,0.503617945
393,6,25,2.4,1.4,2.401968915
394,6,25,2.4,1.4,24.38383386
395,6,25,2.4,1.4,2.25998876
396,12,125,1.8,1.05,32.27993772
397,12,125,1.8,1.05,22.95483198
398,12,125,1.8,1.05,32.28743284
399,6,25,2.4,1.05,25.05585347
400,6,25,2.4,1.05,14.64715217
401,6,25,2.4,1.05,11.42302692
402,6,25,2.4,0.7,9.40534553
403,6,25,2.4,0.7,14.67360446
404,6,25,2.4,0.7,18.73687729
405,12,125,1.6,1.05,20.18824631
406,12,125,1.6,1.05,14.92099437
407,12,125,1.6,1.05,30.20966198
408,6,25,2.2,1.4,7.91761853
409,6,25,2.2,1.4,8.14951516
410,6,25,2.2,1.4,4.150184395
411,6,25,2.2,1.05,10.57081004
412,6,25,2.2,1.05,11.05566429
413,6,25,2.2,1.05,7.9235667
414,6,25,2.2,0.7,5.9481448
415,6,25,2.2,0.7,7.4399274
416,6,25,2.2,0.7,12.36841071
417,6,25,2.0,1.4,5.21743359
418,6,25,2.0,1.4,5.22735781
419,6,25,2.0,1.4,6.44899864
420,6,25,2.0,1.05,4.80682388
421,6,25,2.0,1.05,4.69724476
422,6,25,2.0,1.05,2.940354025
423,6,25,2.0,0.7,4.561826505
424,6,25,2.0,0.7,4.76432071
425,6,25,2.0,0.7,3.88626849
426,6,25,1.8,1.4,3.181724645
427,6,25,1.8,1.4,2.73639597
428,6,25,1.8,1.4,2.45040998
429,6,25,1.8,1.05,2.725128695
430,6,25,1.8,1.05,3.318807365
431,6,25,1.8,1.05,4.24364418
432,6,25,1.8,0.7,2.77622403
433,6,25,1.8,0.7,2.30229922
434,6,25,1.8,0.7,1.504651125
435,6,25,1.6,1.4,1.464165225
436,6,25,1.6,1.4,2.359961675
437,6,25,1.6,1.4,1.696675845
438,12,100,1.7,1.05,19.5094086
439,12,100,1.7,1.05,13.35318585
440,12,100,1.7,1.05,17.53314818
441,6,25,1.6,1.05,1.901228995
442,6,25,1.6,1.05,1.67985751
443,6,25,1.6,1.05,1.83385039
444,6,25,1.6,0.7,1.321202445
445,6,25,1.6,0.7,1.45386602
446,6,25,1.6,0.7,2.09663152
447,6,0,2.5,1.4,1.724510655
448,6,0,2.5,1.4,1.921319615
449,6,0,2.5,1.4,36.25217858
450,6,0,2.5,1.05,27.71493771
451,6,0,2.5,1.05,30.27901031
452,6,0,2.5,1.05,11.31234055
453,12,150,1.7,1.05,35.66341558
454,12,150,1.7,1.05,28.86626493
455,12,150,1.7,1.05,32.67804959
456,6,0,2.5,0.7,27.27353061
457,6,0,2.5,0.7,24.97148829
458,6,0,2.5,0.7,30.26843881
459,6,0,2.3,1.4,2.18745377
460,6,0,2.3,1.4,1.90549201
461,6,0,2.3,1.4,2.02903116
462,6,0,2.3,1.05,11.98794863
463,6,0,2.3,1.05,23.58202299
464,6,0,2.3,1.05,32.23955734
465,12,150,1.5,1.05,24.73057766
466,12,150,1.5,1.05,18.19801116
467,12,150,1.5,1.05,21.98816719
468,12,175,1.6,1.05,34.00182953
469,12,175,1.6,1.05,28.30756993
470,12,175,1.6,1.05,39.07880007
471,6,0,2.3,0.7,22.63629481
472,6,0,2.3,0.7,21.77185393
473,6,0,2.3,0.7,5.017847775
474,6,0,2.1,1.4,2.06551135
475,6,0,2.1,1.4,7.22210682
476,6,0,2.1,1.4,7.735849185
477,6,0,2.1,1.05,7.63448638
478,6,0,2.1,1.05,9.14252845
479,6,0,2.1,1.05,6.771103375
480,6,0,2.1,0.7,6.113001335
481,6,0,2.1,0.7,17.24322518
482,6,0,2.1,0.7,17.42102897
483,6,0,1.9,1.4,5.13711498
484,6,0,1.9,1.4,4.685755775
485,6,0,1.9,1.4,6.652394795
486,6,200,2.5,0.7,25.99898896
487,6,200,2.5,0.7,25.09903317
488,6,200,2.5,0.7,25.13038982
489,6,0,1.9,1.05,6.545940435
490,6,0,1.9,1.05,4.861726245
491,6,0,1.9,1.05,2.966058095
492,6,0,1.9,0.7,5.62889179
493,6,0,1.9,0.7,3.623287735
494,6,0,1.9,0.7,3.576849065
495,6,0,1.7,1.4,2.661723075
496,6,0,1.7,1.4,2.61173793
497,6,0,1.7,1.4,2.328659075
498,12,200,1.5,1.05,36.26267399
499,12,200,1.5,1.05,32.67447181
500,12,200,1.5,1.05,36.65199221
501,12,175,1.6,0.7,29.88577368
502,12,175,1.6,0.7,24.70855653
503,12,175,1.6,0.7,30.49768339
504,12,25,2.4,1.4,1.221183055
505,12,25,2.4,1.4,1.22288414
506,12,25,2.4,1.4,1.300664185
507,8,0,2.3,1.05,2.185516945
508,8,0,2.3,1.05,1.757085215
509,8,0,2.3,1.05,1.61534906
510,6,0,1.7,1.05,3.748405035
511,6,0,1.7,1.05,2.907952235
512,6,0,1.7,1.05,2.933434265
513,12,0,1.5,0.7,2.710077215
514,12,0,1.5,0.7,2.217989635
515,12,0,1.5,0.7,2.817184975
516,8,50,2.5,1.05,23.23553062
517,8,50,2.5,1.05,23.17921309
518,8,50,2.5,1.05,21.22377998
519,6,0,1.7,0.7,3.64273758
520,6,0,1.7,0.7,2.57058053
521,6,0,1.7,0.7,3.09425671
522,6,0,1.5,1.4,1.144337785
523,6,0,1.5,1.4,1.22198518
524,6,0,1.5,1.4,1.66416987
525,6,200,1.5,0.7,14.96221898
526,6,200,1.5,0.7,13.58270496
527,6,200,1.5,0.7,15.7409393
528,6,0,1.5,1.05,1.60756105
529,6,0,1.5,1.05,1.40763682
530,6,0,1.5,1.05,1.204278305
531,12,200,1.5,0.7,41.03767786
532,12,200,1.5,0.7,32.69642057
533,12,200,1.5,0.7,25.91147249
534,12,0,1.5,1.4,1.879645105
535,12,0,1.5,1.4,2.22740741
536,12,0,1.5,1.4,1.94721929
537,8,0,2.5,1.05,1.890725635
538,8,0,2.5,1.05,1.540877455
539,8,0,2.5,1.05,2.239210555
540,6,0,1.5,0.7,1.14466667
541,6,0,1.5,0.7,1.276972545
542,6,0,1.5,0.7,0.984718805
543,8,50,2.3,1.05,5.279049785
544,8,50,2.3,1.05,6.793946615
545,8,50,2.3,1.05,19.8553271
546,8,25,2.4,0.7,22.05845141
547,8,25,2.4,0.7,21.58190069
548,8,25,2.4,0.7,13.43877417
549,6,150,2.1,1.4,17.18467533
550,6,150,2.1,1.4,14.66813147
551,6,150,2.1,1.4,16.09093879
552,10,175,1.6,1.4,23.0666609
553,10,175,1.6,1.4,22.66918814
554,10,175,1.6,1.4,24.08115478
555,12,150,2.5,1.05,1.556686305
556,12,150,2.5,1.05,15.7435385
557,12,150,2.5,1.05,20.7900743
558,6,100,2.1,1.4,13.71482183
559,6,100,2.1,1.4,15.59499058
560,6,100,2.1,1.4,17.55796323
561,8,25,2.4,1.05,27.7911449
562,8,25,2.4,1.05,36.84660789
563,8,25,2.4,1.05,36.1300039
