,n,theta,r,t,toughness
83,10,50,1.7,1.4,2.6504243
84,10,50,1.7,1.05,3.56727412
85,10,50,1.7,1.05,2.93331449
86,10,50,1.7,1.05,0.80325155
87,12,175,1.6,0.7,29.88577368
88,12,175,1.6,0.7,24.70855653
89,12,175,1.6,0.7,30.49768339
90,10,50,1.7,0.7,2.454350585
91,10,50,1.7,0.7,2.326829455
92,10,50,1.7,0.7,2.04446714
93,10,50,1.5,1.4,1.974935335
94,10,50,1.5,1.4,1.77223072
95,10,50,1.5,1.4,1.787142455
96,10,50,1.5,1.05,2.05605895
97,10,50,1.5,1.05,1.660144715
98,10,50,1.5,1.05,1.309078795
99,10,50,1.5,0.7,1.260503925
100,10,50,1.5,0.7,1.666033325
101,10,50,1.5,0.7,0.39829036
102,10,25,2.4,1.4,1.47408317
103,10,25,2.4,1.4,1.48491208
104,10,25,2.4,1.4,12.38719482
105,10,25,2.4,1.05,39.37679974
106,10,25,2.4,1.05,36.86394767
107,10,25,2.4,1.05,32.82540015
108,10,25,2.2,1.4,1.701154805
109,10,25,2.2,1.4,27.82813159
110,10,25,2.2,1.4,1.75988664
111,10,25,2.0,1.4,1.814660625
112,10,25,2.0,1.4,14.00846764
113,10,25,2.0,1.4,8.83892428
114,10,25,2.0,1.05,13.41803126
115,10,25,2.0,1.05,15.07411102
116,10,25,2.0,1.05,11.53404773
117,10,25,2.0,0.7,11.28420063
118,10,25,2.0,0.7,9.690962805
119,10,25,2.0,0.7,9.176301185
120,10,25,1.8,1.4,8.20748261
121,10,25,1.8,1.4,7.42388148
122,10,25,1.8,1.4,6.765780615
123,10,25,1.8,1.05,7.81723548
124,10,25,1.8,1.05,8.75533431
125,10,25,1.8,1.05,7.23375999
126,10,25,1.8,0.7,6.947829155
127,10,25,1.8,0.7,7.640590115
128,10,25,1.8,0.7,4.301986835
129,10,25,1.6,1.4,4.04881531
130,10,25,1.6,1.4,5.78953103
131,10,25,1.6,1.4,5.52352907
132,10,25,1.6,1.05,6.04913388
133,10,25,1.6,1.05,4.98293583
134,10,25,1.6,1.05,4.48764365
135,10,25,1.6,0.7,3.697126945
136,10,25,1.6,0.7,3.56665632
137,10,25,1.6,0.7,3.236290435
138,10,0,2.5,1.4,1.320330185
139,10,0,2.5,1.4,1.258602205
140,10,0,2.5,1.4,1.23106499
141,10,0,2.5,1.05,1.43131911
142,10,0,2.5,1.05,1.264971665
143,10,0,2.5,1.05,1.78869854
144,10,0,2.3,1.4,1.27589006
145,10,0,2.3,1.4,1.239645215
146,10,0,2.3,1.4,1.22052988
147,10,0,2.3,1.05,1.447227795
148,10,0,2.3,1.05,1.57286967
149,10,0,2.3,1.05,1.48189301
150,10,0,2.1,1.4,1.497575625
151,10,0,2.1,1.4,1.49585066
152,10,0,2.1,1.4,1.47175539
153,10,0,2.1,1.05,1.472520425
154,10,0,2.1,1.05,2.0328948
155,10,0,2.1,1.05,1.59126824
156,10,0,2.1,0.7,10.91442134
157,10,0,2.1,0.7,25.38932774
158,10,0,2.1,0.7,19.13454141
159,10,0,1.9,1.4,1.835869325
160,10,0,1.9,1.4,2.00238821
161,10,0,1.9,1.4,2.207163845
162,10,0,1.9,1.05,1.909063605
163,10,0,1.9,1.05,1.76896569
164,10,0,1.9,1.05,2.301721065
165,10,0,1.9,0.7,20.12095256
166,10,0,1.9,0.7,18.42932606
167,10,0,1.9,0.7,6.404926035
168,10,0,1.7,1.4,1.8278817
169,10,0,1.7,1.4,2.13757049
170,10,0,1.7,1.4,2.09316675
171,10,0,1.7,1.05,5.526309155
172,10,0,1.7,1.05,2.000912255
173,10,0,1.7,1.05,4.202121115
174,10,0,1.7,0.7,15.43857988
175,10,0,1.7,0.7,5.065268035
176,10,0,1.7,0.7,3.93400999
177,10,0,1.5,1.4,1.902319725
178,10,0,1.5,1.4,2.32434983
179,10,0,1.5,1.4,1.59246101
180,12,200,1.7,0.7,29.52654878
181,12,200,1.7,0.7,30.81942151
182,12,200,1.7,0.7,29.4756594
183,10,0,1.5,1.05,2.465344685
184,10,0,1.5,1.05,3.23580922
185,10,0,1.5,1.05,1.995446115
186,10,0,1.5,0.7,2.37024162
187,10,0,1.5,0.7,2.68874185
188,10,0,1.5,0.7,2.484941625
189,8,200,2.5,1.4,2.45140065
190,8,200,2.5,1.4,18.91718213
191,8,200,2.5,1.4,22.21883225
192,8,200,2.5,1.05,21.36694488
193,8,200,2.5,1.05,20.91814908
194,8,200,2.5,1.05,23.35022337
195,8,200,2.5,0.7,31.08251055
196,8,200,2.5,0.7,30.67888973
197,8,200,2.5,0.7,31.19337179
198,8,200,2.3,1.4,19.78231941
199,8,200,2.3,1.4,19.88240753
200,8,200,2.3,1.4,21.21698051
201,8,200,2.3,0.7,29.49732455
202,8,200,2.3,0.7,28.6733806
203,8,200,2.3,0.7,25.5377981
204,8,200,2.1,0.7,26.42427769
205,8,200,2.1,0.7,24.42026279
206,8,200,2.1,0.7,25.87711604
207,8,200,1.9,1.4,22.81980479
208,8,200,1.9,1.4,37.84739581
209,8,200,1.9,1.4,21.90320458
210,8,200,2.1,1.4,20.86879417
211,8,200,2.1,1.4,20.4701461
212,8,200,2.1,1.4,20.82277737
213,8,200,1.9,1.05,22.51447703
214,8,200,1.9,1.05,22.75433722
215,8,200,1.9,1.05,22.53879111
216,8,200,1.9,0.7,23.99916942
217,8,200,1.9,0.7,21.81119228
218,8,200,1.9,0.7,21.89667604
219,8,200,1.7,1.4,28.41190008
220,8,200,1.7,1.4,26.83157947
221,8,200,1.7,1.4,12.99023395
222,8,200,1.7,1.05,19.95473314
223,8,200,1.7,1.05,17.83604297
224,8,200,1.7,1.05,13.53689275
225,8,200,2.3,1.05,23.05055265
226,8,200,2.3,1.05,21.90408288
227,8,200,2.3,1.05,23.16218558
228,8,200,1.7,0.7,21.76204542
229,8,200,1.7,0.7,22.59783182
230,8,200,1.7,0.7,21.33334446
231,8,200,1.5,1.4,16.80890649
232,8,200,1.5,1.4,20.48806195
233,8,200,1.5,1.4,15.70872909
234,8,200,1.5,1.05,13.14853798
235,8,200,1.5,1.05,17.70714249
236,8,200,1.5,1.05,13.41499684
237,8,200,1.5,0.7,18.25283987
238,8,200,1.5,0.7,19.46653587
239,8,200,1.5,0.7,19.75280611
240,8,175,2.4,1.4,19.63858649
241,8,175,2.4,1.4,19.13097189
242,8,175,2.4,1.4,26.17297952
243,8,175,2.4,1.05,26.48945395
244,8,175,2.4,1.05,26.50821912
245,8,175,2.4,1.05,26.33490468
246,8,175,2.2,1.4,21.95018747
247,8,175,2.2,1.4,19.7140267
248,8,175,2.2,1.4,21.14495698
249,8,200,2.1,1.05,23.00800265
250,8,200,2.1,1.05,22.7586222
251,8,200,2.1,1.05,22.34457401
252,8,175,2.2,1.05,27.13847058
253,8,175,2.2,1.05,26.01821757
254,8,175,2.2,1.05,26.32360299
255,8,175,2.0,1.4,30.62884765
256,8,175,2.0,1.4,23.21122474
257,8,175,2.0,1.4,35.5636307
258,8,175,2.0,1.05,26.43476973
259,8,175,2.0,1.05,26.72247017
260,8,175,2.0,1.05,30.09047112
261,8,175,2.0,0.7,20.52712839
262,8,175,2.0,0.7,20.54196691
263,8,175,2.0,0.7,19.87380413
264,8,175,1.8,1.4,17.92242904
265,8,175,1.8,1.4,21.84879449
266,8,175,1.8,1.4,19.39221531
267,8,175,1.8,1.05,22.26115859
268,8,175,1.8,1.05,22.3220811
269,8,175,1.8,1.05,22.54772138
270,8,175,1.8,0.7,17.80463232
271,8,175,1.8,0.7,19.22644436
272,8,175,1.8,0.7,9.934021545
273,8,175,1.6,1.4,18.21306351
274,8,175,1.6,1.4,17.15394636
275,8,175,1.6,1.4,12.54898462
276,8,175,2.4,0.7,24.93067951
277,8,175,2.4,0.7,25.64329154
278,8,175,2.4,0.7,25.05996553
279,8,175,1.6,1.05,20.02470101
280,8,175,1.6,1.05,15.34889878
281,8,175,1.6,1.05,13.35499867
282,8,175,1.6,0.7,14.02868913
283,8,175,1.6,0.7,14.86447757
284,8,175,1.6,0.7,9.44977179
285,8,150,2.5,1.4,22.86899577
286,8,150,2.5,1.4,22.09771915
287,8,150,2.5,1.4,23.14973202
288,8,150,2.5,1.05,27.0706717
289,8,150,2.5,1.05,26.02590333
290,8,150,2.5,1.05,28.80428434
291,8,150,2.5,0.7,33.28026619
292,8,150,2.5,0.7,30.2694805
293,8,150,2.5,0.7,20.32642785
294,8,150,2.3,1.4,26.35897031
295,8,150,2.3,1.4,22.79001114
296,8,150,2.3,1.4,21.82711212
297,8,150,2.3,1.05,27.00954622
298,8,150,2.3,1.05,24.9799802
299,8,150,2.3,1.05,24.84117849
300,8,150,2.1,1.4,29.20332858
301,8,150,2.1,1.4,31.45434378
302,8,150,2.1,1.4,11.0882812
303,8,175,2.2,0.7,23.87569613
304,8,175,2.2,0.7,23.2372288
305,8,175,2.2,0.7,21.70413423
306,8,150,2.1,1.05,25.75089201
307,8,150,2.1,1.05,29.67098499
308,8,150,2.1,1.05,25.97304787
309,8,150,2.1,0.7,23.84790793
310,8,150,2.1,0.7,24.56941835
311,8,150,2.1,0.7,23.11471414
312,8,150,1.9,1.4,21.43531816
313,8,150,1.9,1.4,22.91095971
314,8,150,1.9,1.4,18.21817377
315,8,150,1.9,1.05,26.46985809
316,8,150,1.9,1.05,25.43435805
317,8,150,1.9,1.05,2.87239936
318,8,150,1.9,0.7,25.06795204
319,8,150,1.9,0.7,21.19465207
320,8,150,1.9,0.7,21.12950211
321,8,150,1.7,1.4,25.59678803
322,8,150,1.7,1.4,24.64793279
323,8,150,1.7,1.4,24.27369623
324,8,150,1.7,1.05,16.23362792
325,8,150,1.7,1.05,17.9145985
326,8,150,1.7,1.05,18.11751563
327,8,150,1.7,0.7,18.38869488
328,8,150,1.7,0.7,17.66117801
329,8,150,1.7,0.7,13.29449274
330,8,150,1.5,1.4,16.81053048
331,8,150,1.5,1.4,14.02973265
332,8,150,1.5,1.4,1.90937273
333,8,150,2.3,0.7,30.2897043
334,8,150,2.3,0.7,29.14769093
335,8,150,2.3,0.7,25.69999832
336,8,150,1.5,1.05,14.71129282
337,8,150,1.5,1.05,15.97590274
338,8,150,1.5,1.05,16.36829634
339,8,150,1.5,0.7,15.76503932
340,8,150,1.5,0.7,14.14813405
341,8,150,1.5,0.7,15.37844109
342,8,125,2.4,1.4,22.66353705
343,8,125,2.4,1.4,22.00852282
344,8,125,2.4,1.4,24.46094024
345,8,125,2.4,1.05,23.40047254
346,8,125,2.4,1.05,23.11138859
347,8,125,2.4,1.05,24.81064122
348,8,125,2.4,0.7,26.74357163
349,8,125,2.4,0.7,27.62149392
350,8,125,2.4,0.7,22.84953928
351,8,125,2.2,1.4,19.99643012
352,8,125,2.2,1.4,20.10351489
353,8,125,2.2,1.4,17.31953869
354,8,125,2.2,1.05,24.28895599
355,8,125,2.2,1.05,23.69980874
356,8,125,2.2,1.05,23.23672095
357,8,125,2.2,0.7,21.7261251
358,8,125,2.2,0.7,23.72583282
359,8,125,2.2,0.7,21.53762106
360,8,125,2.0,1.4,16.41212001
361,8,125,2.0,1.4,16.98806743
362,8,125,2.0,1.4,17.09009911
363,8,125,2.0,1.05,21.33621444
364,8,125,2.0,1.05,19.35939402
365,8,125,2.0,1.05,16.96168832
366,8,125,2.0,0.7,20.02394696
367,8,125,2.0,0.7,19.83811912
368,8,125,2.0,0.7,1.26034766
369,8,125,1.8,1.4,17.14974079
370,8,125,1.8,1.4,16.2365994
371,8,125,1.8,1.4,1.74030975
372,8,125,1.8,1.05,17.97152167
373,8,125,1.8,1.05,18.66237893
374,8,125,1.8,1.05,1.15879333
375,8,125,1.8,0.7,16.49016369
376,8,125,1.8,0.7,18.90941071
377,8,125,1.8,0.7,17.40060132
378,8,125,1.6,1.4,16.54564365
379,8,125,1.6,1.4,1.96556581
380,8,125,1.6,1.4,1.772851885
381,8,125,1.6,1.05,16.95513861
382,8,125,1.6,1.05,1.88662548
383,8,125,1.6,1.05,1.54022802
384,8,125,1.6,0.7,1.46008469
385,8,125,1.6,0.7,1.608277095
386,8,125,1.6,0.7,0.555669225
387,8,100,2.5,1.4,33.98515161
388,8,100,2.5,1.4,38.61747719
389,8,100,2.5,1.4,37.2935421
390,8,100,2.5,1.05,39.22260624
391,8,100,2.5,1.05,25.92875706
392,8,100,2.5,1.05,29.25635883
393,8,100,2.5,0.7,33.05713503
394,8,100,2.5,0.7,28.09455674
395,8,100,2.5,0.7,3.691875515
396,8,100,2.3,1.4,24.51326645
397,8,100,2.3,1.4,27.58580287
398,8,100,2.3,1.4,15.90063296
399,8,100,2.3,1.05,31.76165247
400,8,100,2.3,1.05,33.8393769
401,8,100,2.3,1.05,30.80100966
402,8,100,2.3,0.7,26.55366339
403,8,100,2.3,0.7,22.02141722
404,8,100,2.3,0.7,20.89136195
405,12,150,1.7,0.7,29.63537291
406,12,150,1.7,0.7,27.56463097
407,12,150,1.7,0.7,28.19673461
408,12,175,1.8,0.7,28.4906872
409,12,175,1.8,0.7,30.44194607
410,12,175,1.8,0.7,30.55014033
411,8,100,2.1,1.4,15.81249026
412,8,100,2.1,1.4,23.42045223
413,8,100,2.1,1.4,2.174995185
414,8,100,2.1,1.05,26.5761516
415,8,100,2.1,1.05,25.09494934
416,8,100,2.1,1.05,27.92352784
417,8,100,2.1,0.7,24.44324883
418,8,100,2.1,0.7,22.6591346
419,8,100,2.1,0.7,18.09078329
420,8,100,1.9,1.4,15.28451124
421,8,100,1.9,1.4,13.46396952
422,8,100,1.9,1.4,1.09751429
423,8,100,1.9,1.05,19.95083256
424,8,100,1.9,1.05,21.43939518
425,8,100,1.9,1.05,21.01485876
426,8,100,1.9,0.7,18.46355991
427,8,100,1.9,0.7,17.47108114
428,8,100,1.9,0.7,15.761628
429,8,100,1.7,1.4,2.526298485
430,8,100,1.7,1.4,4.074202785
431,8,100,1.7,1.4,0.58207294
432,8,100,1.7,1.05,1.94218581
433,8,100,1.7,1.05,15.57963557
434,8,100,1.7,1.05,16.41218992
435,8,100,1.7,0.7,1.66019497
436,8,100,1.7,0.7,1.51086271
437,8,100,1.7,0.7,1.401898735
438,8,100,1.5,1.4,1.371727985
439,8,100,1.5,1.4,14.01092007
440,8,100,1.5,1.4,0.381889405
441,8,100,1.5,1.05,1.47033628
442,8,100,1.5,1.05,1.58020915
443,8,100,1.5,1.05,0.98552759
444,8,100,1.5,0.7,0.758866325
445,8,100,1.5,0.7,1.019029305
446,8,100,1.5,0.7,1.752622255
447,8,75,2.4,1.4,32.61966052
448,8,75,2.4,1.4,31.37445519
449,8,75,2.4,1.4,16.98524062
450,8,75,2.4,1.05,26.61614424
451,8,75,2.4,1.05,25.70566987
452,8,75,2.4,1.05,21.54221829
453,8,75,2.4,0.7,24.44423375
454,8,75,2.4,0.7,25.10776541
455,8,75,2.4,0.7,4.023762455
456,8,75,2.2,1.4,17.76513275
457,8,75,2.2,1.4,27.6013942
458,8,75,2.2,1.4,28.39669297
459,8,75,2.2,1.05,20.51460132
460,8,75,2.2,1.05,21.3394019
461,8,75,2.2,1.05,4.977815625
462,8,75,2.2,0.7,20.21204998
463,8,75,2.2,0.7,22.07383703
464,8,75,2.2,0.7,17.61099159
465,8,75,2.0,1.4,12.78541704
466,8,75,2.0,1.4,21.27402599
467,8,75,2.0,1.4,4.00071953
468,12,200,1.9,0.7,29.24994097
469,12,200,1.9,0.7,29.9102573
470,12,200,1.9,0.7,30.4019694
471,12,125,1.8,0.7,31.44584563
472,12,125,1.8,0.7,29.34213915
473,12,125,1.8,0.7,19.76653614
474,8,75,2.0,1.05,3.877424105
475,8,75,2.0,1.05,12.73013662
476,8,75,2.0,1.05,1.427589615
477,8,75,2.0,0.7,5.749459945
478,8,75,2.0,0.7,6.35860395
479,8,75,2.0,0.7,17.16436162
480,8,75,1.8,1.4,4.87327289
481,8,75,1.8,1.4,4.7896747
482,8,75,1.8,1.4,0.98540034
483,8,75,1.8,1.05,12.57974175
484,8,75,1.8,1.05,3.688520175
485,8,75,1.8,1.05,13.76810579
486,8,75,1.8,0.7,3.146094015
487,8,75,1.8,0.7,2.421117005
488,8,75,1.8,0.7,1.923480915
489,8,75,1.6,1.4,1.897846855
490,8,75,1.6,1.4,2.787914895
491,8,75,1.6,1.4,1.202600565
492,8,75,1.6,1.05,2.517171365
493,8,75,1.6,1.05,2.47774116
494,8,75,1.6,1.05,0.5029841
495,8,75,1.6,0.7,2.301961535
496,8,75,1.6,0.7,2.23340016
497,8,75,1.6,0.7,0.997970035
498,8,50,2.5,1.4,1.789061775
499,8,50,2.5,1.4,1.798908325
500,8,50,2.5,1.4,2.090443795
501,8,50,2.5,0.7,7.144120635
502,8,50,2.5,0.7,10.71189652
503,8,50,2.5,0.7,4.478213675
504,8,50,2.3,1.4,9.993393195
505,8,50,2.3,1.4,9.51737332
506,8,50,2.3,1.4,10.78723802
507,8,50,2.3,0.7,6.054145875
508,8,50,2.3,0.7,6.201702715
509,8,50,2.3,0.7,3.08157811
510,8,50,2.1,1.4,4.749716225
511,8,50,2.1,1.4,4.755243245
512,8,50,2.1,1.4,4.02354012
513,8,50,2.1,1.05,3.47753655
514,8,50,2.1,1.05,6.51946287
515,8,50,2.1,1.05,6.37566581
516,8,50,2.1,0.7,4.16988717
517,8,50,2.1,0.7,4.166636315
518,8,50,2.1,0.7,2.552720965
519,8,50,1.9,1.4,2.89525274
520,8,50,1.9,1.4,2.679152695
521,8,50,1.9,1.4,4.16800253
522,8,50,1.9,1.05,1.75677089
523,8,50,1.9,1.05,3.07566036
524,8,50,1.9,1.05,0.99036637
525,8,50,1.9,0.7,2.446088645
526,8,50,1.9,0.7,2.313059155
527,8,50,1.9,0.7,1.7688226
528,8,50,1.7,1.4,1.256027065
529,8,50,1.7,1.4,2.29423402
530,8,50,1.7,1.4,2.57808866
531,8,50,1.7,1.05,1.946333395
532,8,50,1.7,1.05,2.046947545
533,8,50,1.7,1.05,0.530468075
534,8,50,1.7,0.7,1.83865145
535,8,50,1.7,0.7,1.215050635
536,8,50,1.7,0.7,1.068200195
537,12,200,2.1,0.7,32.12768047
538,12,200,2.1,0.7,33.25790557
539,12,200,2.1,0.7,32.08265752
540,12,175,2.0,0.7,29.69113837
541,12,175,2.0,0.7,30.24429189
542,12,175,2.0,0.7,29.49511193
543,8,50,1.5,1.4,1.01771189
544,8,50,1.5,1.4,1.045444615
545,8,50,1.5,1.4,0.610162855
546,8,50,1.5,1.05,0.967633045
547,8,50,1.5,1.05,0.89535553
548,8,50,1.5,1.05,0.2835024
549,8,50,1.5,0.7,0.606925755
550,8,50,1.5,0.7,0.92954519
551,8,50,1.5,0.7,0.580645385
552,8,25,2.4,1.4,1.651555005
553,8,25,2.4,1.4,1.95455938
554,8,25,2.4,1.4,34.9592874
555,8,25,2.2,1.4,19.7309444
556,8,25,2.2,1.4,33.7412304
557,8,25,2.2,1.4,18.59106074
558,12,150,1.9,0.7,30.62289498
559,12,150,1.9,0.7,27.43718607
560,12,150,1.9,0.7,27.97876193
561,8,25,2.2,0.7,13.1504635
562,8,25,2.2,0.7,17.04183149
563,8,25,2.2,0.7,10.01264335
564,8,25,2.0,1.4,14.18665702
565,8,25,2.0,1.4,14.75295729
566,8,25,2.0,1.4,10.95345267
567,8,25,2.0,1.05,10.70192285
568,8,25,2.0,1.05,15.01512353
569,8,25,2.0,1.05,13.3530951
570,8,25,2.0,0.7,9.76006525
571,8,25,2.0,0.7,11.78357118
572,8,25,2.0,0.7,6.35420248
573,8,25,1.8,1.4,12.00985826
574,8,25,1.8,1.4,11.90886521
575,8,25,1.8,1.4,10.12589473
576,8,25,2.4,0.7,22.05845141
577,8,25,2.4,0.7,21.58190069
578,8,25,2.4,0.7,13.43877417
579,8,25,1.8,1.05,9.138851555
580,8,25,1.8,1.05,9.41505298
581,8,25,1.8,1.05,6.70508105
582,8,25,1.8,0.7,5.487119255
583,8,25,1.8,0.7,7.618696405
584,8,25,1.8,0.7,9.68552392
585,8,25,1.6,1.4,5.25760901
586,8,25,1.6,1.4,6.89180886
587,8,25,1.6,1.4,2.70571583
588,8,25,1.6,1.05,5.899901415
589,8,25,1.6,1.05,5.90264023
590,8,25,1.6,1.05,6.31753358
591,8,25,1.6,0.7,6.022568495
592,8,25,1.6,0.7,5.38905503
593,8,25,1.6,0.7,3.92030164
594,8,0,2.5,1.4,1.379164485
595,8,0,2.5,1.4,1.341181375
596,8,0,2.5,1.4,1.310974495
597,8,0,2.5,1.05,1.890725635
598,8,0,2.5,1.05,1.540877455
599,8,0,2.5,1.05,2.239210555
600,8,0,2.5,0.7,31.09783404
601,8,0,2.5,0.7,24.46751917
602,8,0,2.5,0.7,35.57965442
603,8,0,2.3,1.4,1.437887965
604,8,0,2.3,1.4,1.424017165
605,8,0,2.3,1.4,1.9665795
606,8,0,2.3,0.7,25.3582639
607,8,0,2.3,0.7,21.89507745
608,8,0,2.3,0.7,4.988631565
609,8,0,2.1,1.4,1.915515405
610,8,0,2.1,1.4,1.62434588
611,8,0,2.1,1.4,1.70359334
612,8,0,2.1,1.05,8.488290225
613,8,0,2.1,1.05,20.68608874
614,8,0,2.1,1.05,19.61008402
615,8,0,2.1,0.7,19.99789002
616,8,0,2.1,0.7,19.00737704
617,8,0,2.1,0.7,20.42346871
618,8,0,1.9,1.4,5.33195838
619,8,0,1.9,1.4,8.15384786
620,8,0,1.9,1.4,4.02889168
621,8,0,1.9,1.05,7.354356745
622,8,0,1.9,1.05,8.580193305
623,8,0,1.9,1.05,7.4669773
624,8,0,1.9,0.7,5.52009985
625,8,0,1.9,0.7,13.95284194
626,8,0,1.9,0.7,5.202961875
627,8,0,1.7,1.4,2.899414305
628,8,0,1.7,1.4,3.79572566
629,8,0,1.7,1.4,4.383226565
630,8,0,1.7,1.05,4.139476235
631,8,0,1.7,1.05,3.065404435
632,8,0,1.7,1.05,2.09191768
633,8,0,1.7,0.7,2.413471505
634,8,0,1.7,0.7,3.472810065
635,8,0,1.7,0.7,3.66459729
636,8,0,1.5,1.4,1.991507755
637,8,0,1.5,1.4,2.143893625
638,8,0,1.5,1.4,1.660902335
639,8,0,1.5,1.05,1.994880795
640,8,0,1.5,1.05,1.96282795
641,8,0,1.5,1.05,1.584290705
642,8,0,1.5,0.7,2.166798125
643,8,0,1.5,0.7,1.9446332
644,8,0,1.5,0.7,1.79906466
645,6,200,2.5,1.4,21.03835901
646,6,200,2.5,1.4,22.99321612
647,6,200,2.5,1.4,18.87405486
648,6,200,2.5,1.05,22.06231878
649,6,200,2.5,1.05,23.11410977
650,6,200,2.5,1.05,22.80520974
651,8,50,2.5,1.05,23.23553062
652,8,50,2.5,1.05,23.17921309
653,8,50,2.5,1.05,21.22377998
654,6,200,2.5,0.7,25.99898896
655,6,200,2.5,0.7,25.09903317
656,6,200,2.5,0.7,25.13038982
657,6,200,2.3,1.4,19.66597793
658,6,200,2.3,1.4,18.54291755
659,6,200,2.3,1.4,24.85532039
660,6,200,2.3,1.05,21.80051696
661,6,200,2.3,1.05,20.57744419
662,6,200,2.3,1.05,21.32481878
663,12,200,2.5,0.7,2.029597225
664,12,200,2.5,0.7,36.73641685
665,12,200,2.5,0.7,36.1041867
666,6,200,2.3,0.7,24.84958171
667,6,200,2.3,0.7,20.90731185
668,6,200,2.3,0.7,23.40856053
669,6,200,2.1,1.4,20.31956724
670,6,200,2.1,1.4,26.0766163
671,6,200,2.1,1.4,7.20144772
672,6,200,2.1,1.05,20.21042247
673,6,200,2.1,1.05,19.22200277
674,6,200,2.1,1.05,20.51055968
675,6,200,2.1,0.7,21.86809238
676,6,200,2.1,0.7,20.23693665
677,6,200,2.1,0.7,20.23517058
678,6,200,1.9,1.4,23.56283371
679,6,200,1.9,1.4,24.93052827
680,6,200,1.9,1.4,22.75615377
681,6,200,1.9,1.05,24.39245006
682,6,200,1.9,1.05,19.64039634
683,6,200,1.9,1.05,19.49920548
684,6,200,1.9,0.7,17.83614353
685,6,200,1.9,0.7,17.48027602
686,6,200,1.9,0.7,13.79168408
687,6,200,1.7,1.4,19.40045977
688,6,200,1.7,1.4,8.339999845
689,6,200,1.7,1.4,22.27744967
690,6,200,1.7,1.05,25.21025957
691,6,200,1.7,1.05,21.38700344
692,6,200,1.7,1.05,26.36648259
693,6,200,1.7,0.7,16.78959272
694,6,200,1.7,0.7,16.03773862
695,6,200,1.7,0.7,16.27981063
696,6,200,1.5,1.05,14.65657727
697,6,200,1.5,1.05,16.66536236
